,Age,Constituency,Criminal_Cases,Education_Level,Name,Number_of_Cases,PAN_Given_(Y_or_N),Party_Code,Total_Assets,Total_Liabilities,common_link,elec_link
103,43,Sakoli,No,12th Pass,Waghaye Sevakbhau Nirdhan in Maharashtra 2009,0,Y,INC,16269912,5834478,http://myneta.info/compare_profile.php?group_id=VWDSmEviFwfV2LH4VjAT,http://myneta.info/mh2009/candidate.php?candidate_id=1228
104,38,SAKOLI,Yes,Graduate Professional,SEVAKBHAU NIRDHANJI WAGHAYE (PATIL) in Maharashtra 2004,1,Y,INC,3075171,1186514,http://myneta.info/compare_profile.php?group_id=VWDSmEviFwfV2LH4VjAT,http://myneta.info/mah2004/candidate.php?candidate_id=149
105,40,SURGUJA,No,Graduate Professional,Kunj Bihari Paikra in Loksabha 2014,0,Y,Bahujan Mukti Party,2337000,125000,http://myneta.info/compare_profile.php?group_id=P9NJtS7Yc3GuuV2U548P,http://myneta.info/ls2014/candidate.php?candidate_id=4143
106,39,LUNDRA,No,Graduate Professional,Kunj Bihari Painkra in Chhattisgarh 2013,0,Y,IND,2337000,125000,http://myneta.info/compare_profile.php?group_id=P9NJtS7Yc3GuuV2U548P,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=516
107,39,GANGAPUR,Yes,Graduate,Krishna Sahebrao Patil in Maharashtra Election 2014,20,Y,NCP,104574799,10429357,http://myneta.info/compare_profile.php?group_id=vLJyyk8ZwK7Tbe333oV9,http://myneta.info/maharashtra2014/candidate.php?candidate_id=614
108,34,Gangapur,Yes,Graduate,Patil Krishna Dongaonkar in Maharashtra 2009,16,Y,IND,35776350,198211,http://myneta.info/compare_profile.php?group_id=vLJyyk8ZwK7Tbe333oV9,http://myneta.info/mh2009/candidate.php?candidate_id=1894
109,58,KHANAPUR,No,Graduate Professional,Sadashivrao Hanmantrao Patil in Maharashtra Election 2014,0,Y,INC,91309757,0,http://myneta.info/compare_profile.php?group_id=KGL4QfqMGybHj7tAi3U9,http://myneta.info/maharashtra2014/candidate.php?candidate_id=610
110,53,Khanapur,No,Graduate Professional,Patil  Sadashivrao Hanumatrao in Maharashtra 2009,0,Y,INC,34948241,174200,http://myneta.info/compare_profile.php?group_id=KGL4QfqMGybHj7tAi3U9,http://myneta.info/mh2009/candidate.php?candidate_id=3618
111,48,KHANAPUR ATPADI,No,Post Graduate,PATIL SADASHIVRAO HANMANTRAO in Maharashtra 2004,0,Y,IND,16398595,793292,http://myneta.info/compare_profile.php?group_id=KGL4QfqMGybHj7tAi3U9,http://myneta.info/mah2004/candidate.php?candidate_id=274
112,62,AMANPUR,No,Post Graduate,Virendra Singh Solanki in Uttar Pradesh 2012,0,Y,SP,7390000,0,http://myneta.info/compare_profile.php?group_id=697deuqpqsidTjaM5FyJ,http://myneta.info/up2012/candidate.php?candidate_id=1360
113,58,Sakit,No,Post Graduate,VIRENDRA SINGH SOLANKI in Uttar Pradesh 2007,0,Y,BJP,2139500,300000,http://myneta.info/compare_profile.php?group_id=697deuqpqsidTjaM5FyJ,http://myneta.info/up2007/candidate.php?candidate_id=1811
114,47,MALAD  WEST,No,8th Pass,Deepak Pandurang Pawar in Maharashtra Election 2014,0,Y,MNS,292626929,27000000,http://myneta.info/compare_profile.php?group_id=zVJewmT7t2KHnuBnASai,http://myneta.info/maharashtra2014/candidate.php?candidate_id=2163
