,Age,Assets_Rs,Constituency,Criminal_Cases,Education,Liabilities_Rs,Link,Name,Party,State,Winner,Year
7,41,Nil,ANAKAPALLE,0,Post Graduate,0,candidate.php?candidate_id=8850,Vadlamuri Krishna Swaroop,Dalita Bahujana Party,ANDHRA PRADESH,0,2014
0,70,226481020,ANANTAPUR,0,12th Pass,3265000,candidate.php?candidate_id=8326,Jutur Chinna Reddy Divakar Reddy,TDP,ANDHRA PRADESH,1,2014
1,57,26301000,ANANTAPUR,0,Post Graduate,0,candidate.php?candidate_id=8325,Anantha Venkata Rami Reddy,Yuvajana Sramika Rythu Congress Party,ANDHRA PRADESH,0,2014
2,47,Nil,ANANTAPUR,0,Not Given,0,candidate.php?candidate_id=9081,Bandaru Srinivasulu,IND,ANDHRA PRADESH,0,2014
3,26,605000,ANANTAPUR,0,8th Pass,300000,candidate.php?candidate_id=9083,Boya Anil Kumar,Jai Samaikyandhra Party,ANDHRA PRADESH,0,2014
4,53,1331648,ANANTAPUR,0,Post Graduate,117705,candidate.php?candidate_id=8330,Bujji Reddy Venugopal Reddy,Indian Christian Secular Party,ANDHRA PRADESH,0,2014
5,46,5063528,ANANTAPUR,0,10th Pass,1200000,candidate.php?candidate_id=8331,Deshmukh Somanath,IND,ANDHRA PRADESH,0,2014
6,51,58683,ANANTAPUR,1,Graduate Professional,0,candidate.php?candidate_id=8161,G Lalitha,SUCI(C),ANDHRA PRADESH,0,2014
7,37,52846700,ANANTAPUR,0,10th Pass,0,candidate.php?candidate_id=9080,Gujjala Nagaraju,IND,ANDHRA PRADESH,0,2014
8,40,1280000,ANANTAPUR,0,10th Pass,0,candidate.php?candidate_id=9087,K.Nagaraju,BSP,ANDHRA PRADESH,0,2014
9,46,10240000,ANANTAPUR,0,Graduate,1395000,candidate.php?candidate_id=9079,P. Anil Chowdary,INC,ANDHRA PRADESH,0,2014
10,27,50000,ANANTAPUR,0,Graduate,0,candidate.php?candidate_id=9082,Pavan Kumar,Pyramid Party of India,ANDHRA PRADESH,0,2014
11,54,14386694,ANANTAPUR,0,Post Graduate,1760200,candidate.php?candidate_id=9086,Shaik. Mohammad Shafi,IND,ANDHRA PRADESH,0,2014
12,60,91331000,ANANTAPUR,0,Graduate Professional,636000,candidate.php?candidate_id=9085,T. Kuldeep Choudary,Samaikya Telugu Rajyam,ANDHRA PRADESH,0,2014
0,43,65147467,ARAKU,0,Post Graduate,43261606,candidate.php?candidate_id=8865,Kothapalli Geetha,Yuvajana Sramika Rythu Congress Party,ANDHRA PRADESH,1,2014
1,52,15500,ARAKU,0,Literate,15000,candidate.php?candidate_id=8856,Biddika Ramayya,IND,ANDHRA PRADESH,0,2014
2,33,52000,ARAKU,0,Graduate,0,candidate.php?candidate_id=8858,Boorjabariki Dhanaraju,AAP,ANDHRA PRADESH,0,2014
3,41,2587354,ARAKU,0,Graduate,0,candidate.php?candidate_id=8864,Gummidi Sandhya Rani,TDP,ANDHRA PRADESH,0,2014
4,60,310000,ARAKU,0,5th Pass,0,candidate.php?candidate_id=8862,Illa Ramireddy,IND,ANDHRA PRADESH,0,2014
5,59,650000,ARAKU,0,5th Pass,0,candidate.php?candidate_id=8861,Kangala Baludora,IND,ANDHRA PRADESH,0,2014
6,67,41503500,ARAKU,0,Post Graduate,0,candidate.php?candidate_id=8860,Kishore Chandra Suryanarayana Deo Vyricherla,INC,ANDHRA PRADESH,0,2014
7,63,2230750,ARAKU,0,Graduate Professional,0,candidate.php?candidate_id=8863,Midiyam Baburao,CPI(M),ANDHRA PRADESH,0,2014
8,35,1485000,ARAKU,0,Graduate,0,candidate.php?candidate_id=8857,Sallangi Ratnam,IND,ANDHRA PRADESH,0,2014
9,33,40150,ARAKU,0,Post Graduate,0,candidate.php?candidate_id=8853,Sankara Rao Chetti,IND,ANDHRA PRADESH,0,2014
10,39,612528,ARAKU,0,Doctorate,0,candidate.php?candidate_id=8859,Sankara Rao Vanugu,IND,ANDHRA PRADESH,0,2014
0,60,45359744,BAPATLA,0,Post Graduate,0,candidate.php?candidate_id=8482,Malyadri Sriram,TDP,ANDHRA PRADESH,1,2014
1,31,40000,BAPATLA,0,10th Pass,0,candidate.php?candidate_id=9131,Bandela Nageswara Rao,IND,ANDHRA PRADESH,0,2014
2,39,60000,BAPATLA,0,Others,50000,candidate.php?candidate_id=8483,Eda Chennaiah,AAP,ANDHRA PRADESH,0,2014
3,0,1185000,BAPATLA,0,Graduate,100000,candidate.php?candidate_id=8890,Gadde Thyagaraju,IND,ANDHRA PRADESH,0,2014
4,34,1262200,BAPATLA,0,10th Pass,733400,candidate.php?candidate_id=8895,Gogulamudi Narasimha Rao,IND,ANDHRA PRADESH,0,2014
5,0,155000,BAPATLA,0,Post Graduate,0,candidate.php?candidate_id=8891,Golla Babu Rao,IND,ANDHRA PRADESH,0,2014
6,39,190000,BAPATLA,0,Post Graduate,0,candidate.php?candidate_id=8484,Nakkala Veeranjaneyulu,IND,ANDHRA PRADESH,0,2014
7,56,65782130,BAPATLA,0,Post Graduate,1682000,candidate.php?candidate_id=8162,Panabaka Lakshmi,INC,ANDHRA PRADESH,0,2014
8,48,1277000,BAPATLA,1,Post Graduate,435000,candidate.php?candidate_id=8480,Perli Prasanna Deevena Kumar,Indian Labour Party (Ambedkar Phule),ANDHRA PRADESH,0,2014
9,45,50000,BAPATLA,0,Graduate Professional,0,candidate.php?candidate_id=8899,Philipu Dwarapalli,BSP,ANDHRA PRADESH,0,2014
10,29,95240,BAPATLA,0,Post Graduate,0,candidate.php?candidate_id=8894,Ratnababu Mamidi,IND,ANDHRA PRADESH,0,2014
11,47,2460000,BAPATLA,0,Graduate Professional,150000,candidate.php?candidate_id=8893,Rayapati David Wilson,Jai Samaikyandhra Party,ANDHRA PRADESH,0,2014
12,54,52633913,BAPATLA,0,Post Graduate,14662335,candidate.php?candidate_id=9130,Varikuti Amruthapani,Yuvajana Sramika Rythu Congress Party,ANDHRA PRADESH,0,2014
13,25,71000,BAPATLA,0,10th Pass,0,candidate.php?candidate_id=8897,Yellamati Ramesh,Pyramid Party of India,ANDHRA PRADESH,0,2014
0,62,14878003,CHITTOOR,0,Graduate Professional,0,candidate.php?candidate_id=8170,Naramalli Sivaprasad,TDP,ANDHRA PRADESH,1,2014
1,64,20322000,CHITTOOR,0,Doctorate,100000,candidate.php?candidate_id=8868,B Rajagopal,INC,ANDHRA PRADESH,0,2014
2,34,546700,CHITTOOR,0,Post Graduate,0,candidate.php?candidate_id=8871,C S Udaya,Pyramid Party of India,ANDHRA PRADESH,0,2014
3,38,500500,CHITTOOR,0,Graduate,0,candidate.php?candidate_id=8169,D.Jithendra Kumar,BSP,ANDHRA PRADESH,0,2014
4,35,29254634,CHITTOOR,0,Doctorate,337949,candidate.php?candidate_id=8172,Gandavarapu Samanya,Yuvajana Sramika Rythu Congress Party,ANDHRA PRADESH,0,2014
5,57,841732,CHITTOOR,0,Graduate Professional,0,candidate.php?candidate_id=8869,P Pushpa Raj,Jai Samaikyandhra Party,ANDHRA PRADESH,0,2014
6,43,1360000,CHITTOOR,0,10th Pass,2500000,candidate.php?candidate_id=8870,S Anjappa,IND,ANDHRA PRADESH,0,2014
0,54,129394729,ELURU,2,10th Pass,55294433,candidate.php?candidate_id=8178,Venkateswara Rao Maganti,TDP,ANDHRA PRADESH,1,2014
1,53,3120000,ELURU,0,Graduate,400000,candidate.php?candidate_id=8181,C.V.Sarada Devi,IND,ANDHRA PRADESH,0,2014
2,34,2741859,ELURU,1,12th Pass,0,candidate.php?candidate_id=8904,Juluri Bhaskara Veera Venkata Anil Kumar Gupta,IND,ANDHRA PRADESH,0,2014
