,district,state,thelink,year
20,Mahabubnagar,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=30,2004
21,Medak,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=34,2004
22,Miryalguda,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=43,2004
23,Nagarkurnool,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=29,2004
24,Nalgonda,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=42,2004
25,Nandyal,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=28,2004
26,Narasapur,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=11,2004
27,Narasaraopet,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=18,2004
28,Nellore,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=20,2004
29,Nizamabad,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=35,2004
30,Ongole,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=19,2004
31,Parvathipuram,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=3,2004
32,Peddapalli,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=37,2004
33,Rajahmundry,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=9,2004
34,Rajampet,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=23,2004
35,Secunderabad,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=32,2004
36,Siddipet,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=33,2004
37,Srikakulam,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=2,2004
38,Tenali,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=15,2004
39,Tirupathi,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=21,2004
40,Vijayawada,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=14,2004
41,Visakhapatnam,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=5,2004
42,Warangal,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=40,2004
43,Arunachal East,ARUNACHAL PRADESH,index.php?action=show_candidates&constituency_id=45,2004
44,Arunachal West,ARUNACHAL PRADESH,index.php?action=show_candidates&constituency_id=44,2004
45,Autonomous District,ASSAM,index.php?action=show_candidates&constituency_id=48,2004
46,Barpeta,ASSAM,index.php?action=show_candidates&constituency_id=51,2004
47,Dhubri,ASSAM,index.php?action=show_candidates&constituency_id=49,2004
48,Dibrugarh,ASSAM,index.php?action=show_candidates&constituency_id=58,2004
49,Gauhati,ASSAM,index.php?action=show_candidates&constituency_id=52,2004
50,Jorhat,ASSAM,index.php?action=show_candidates&constituency_id=57,2004
51,Kaliabor,ASSAM,index.php?action=show_candidates&constituency_id=56,2004
52,Karimganj,ASSAM,index.php?action=show_candidates&constituency_id=46,2004
53,Kokrajhar,ASSAM,index.php?action=show_candidates&constituency_id=50,2004
54,Lakhimpur,ASSAM,index.php?action=show_candidates&constituency_id=59,2004
55,Mangaldoi,ASSAM,index.php?action=show_candidates&constituency_id=53,2004
56,Nowgong,ASSAM,index.php?action=show_candidates&constituency_id=55,2004
57,Silchar,ASSAM,index.php?action=show_candidates&constituency_id=47,2004
58,Tezpur,ASSAM,index.php?action=show_candidates&constituency_id=54,2004
59,Araria,BIHAR,index.php?action=show_candidates&constituency_id=81,2004
60,Arrah,BIHAR,index.php?action=show_candidates&constituency_id=92,2004
61,Aurangabad,BIHAR,index.php?action=show_candidates&constituency_id=96,2004
62,Bagaha,BIHAR,index.php?action=show_candidates&constituency_id=60,2004
63,Balia,BIHAR,index.php?action=show_candidates&constituency_id=78,2004
64,Banka,BIHAR,index.php?action=show_candidates&constituency_id=85,2004
65,Barh,BIHAR,index.php?action=show_candidates&constituency_id=77,2004
66,Begusarai,BIHAR,index.php?action=show_candidates&constituency_id=89,2004
67,Bettiah,BIHAR,index.php?action=show_candidates&constituency_id=61,2004
68,Bhagalpur,BIHAR,index.php?action=show_candidates&constituency_id=86,2004
69,Bikramganj,BIHAR,index.php?action=show_candidates&constituency_id=95,2004
70,Buxar,BIHAR,index.php?action=show_candidates&constituency_id=93,2004
71,Chapra,BIHAR,index.php?action=show_candidates&constituency_id=66,2004
72,Darbhanga,BIHAR,index.php?action=show_candidates&constituency_id=74,2004
73,Gaya,BIHAR,index.php?action=show_candidates&constituency_id=99,2004
74,Gopalganj,BIHAR,index.php?action=show_candidates&constituency_id=63,2004
75,Hajipur,BIHAR,index.php?action=show_candidates&constituency_id=67,2004
76,Jahanabad,BIHAR,index.php?action=show_candidates&constituency_id=97,2004
77,Jhanjharpur,BIHAR,index.php?action=show_candidates&constituency_id=73,2004
78,Katihar,BIHAR,index.php?action=show_candidates&constituency_id=84,2004
79,Khagaria,BIHAR,index.php?action=show_candidates&constituency_id=87,2004
80,Kishanganj,BIHAR,index.php?action=show_candidates&constituency_id=82,2004
81,Madhepura,BIHAR,index.php?action=show_candidates&constituency_id=80,2004
82,Madhubani,BIHAR,index.php?action=show_candidates&constituency_id=72,2004
83,Maharajganj,BIHAR,index.php?action=show_candidates&constituency_id=65,2004
84,Monghyr,BIHAR,index.php?action=show_candidates&constituency_id=88,2004
85,Motihari,BIHAR,index.php?action=show_candidates&constituency_id=62,2004
86,Muzaffarpur,BIHAR,index.php?action=show_candidates&constituency_id=69,2004
87,Nalanda,BIHAR,index.php?action=show_candidates&constituency_id=90,2004
88,Nawada,BIHAR,index.php?action=show_candidates&constituency_id=98,2004
89,Patna,BIHAR,index.php?action=show_candidates&constituency_id=91,2004
90,Purnea,BIHAR,index.php?action=show_candidates&constituency_id=83,2004
91,Rosera,BIHAR,index.php?action=show_candidates&constituency_id=75,2004
92,Saharsa,BIHAR,index.php?action=show_candidates&constituency_id=79,2004
93,Samastipur,BIHAR,index.php?action=show_candidates&constituency_id=76,2004
94,Sasaram,BIHAR,index.php?action=show_candidates&constituency_id=94,2004
95,Sheohar,BIHAR,index.php?action=show_candidates&constituency_id=71,2004
96,Sitamarhi,BIHAR,index.php?action=show_candidates&constituency_id=70,2004
97,Siwan,BIHAR,index.php?action=show_candidates&constituency_id=64,2004
98,Vaishali,BIHAR,index.php?action=show_candidates&constituency_id=68,2004
99,Chandigarh,CHANDIGARH,index.php?action=show_candidates&constituency_id=100,2004
100,Bastar,CHHATTISGARH,index.php?action=show_candidates&constituency_id=109,2004
101,Bilaspur,CHHATTISGARH,index.php?action=show_candidates&constituency_id=104,2004
102,Durg,CHHATTISGARH,index.php?action=show_candidates&constituency_id=110,2004
103,Janjgir,CHHATTISGARH,index.php?action=show_candidates&constituency_id=103,2004
104,Kanker,CHHATTISGARH,index.php?action=show_candidates&constituency_id=108,2004
105,Mahasamund,CHHATTISGARH,index.php?action=show_candidates&constituency_id=107,2004
106,Raigarh,CHHATTISGARH,index.php?action=show_candidates&constituency_id=102,2004
107,Raipur,CHHATTISGARH,index.php?action=show_candidates&constituency_id=106,2004
108,Rajnandgaon,CHHATTISGARH,index.php?action=show_candidates&constituency_id=111,2004
109,Sarangarh,CHHATTISGARH,index.php?action=show_candidates&constituency_id=105,2004
110,Surguja,CHHATTISGARH,index.php?action=show_candidates&constituency_id=101,2004
111,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,index.php?action=show_candidates&constituency_id=112,2004
112,Daman And Diu,DAMAN & DIU,index.php?action=show_candidates&constituency_id=113,2004
113,Mormugao,GOA,index.php?action=show_candidates&constituency_id=115,2004
114,Panaji,GOA,index.php?action=show_candidates&constituency_id=114,2004
115,Ahmedabad,GUJARAT,index.php?action=show_candidates&constituency_id=125,2004
116,Amreli,GUJARAT,index.php?action=show_candidates&constituency_id=122,2004
117,Anand,GUJARAT,index.php?action=show_candidates&constituency_id=135,2004
118,Banaskantha,GUJARAT,index.php?action=show_candidates&constituency_id=129,2004
119,Baroda,GUJARAT,index.php?action=show_candidates&constituency_id=137,2004
120,Bhavnagar,GUJARAT,index.php?action=show_candidates&constituency_id=123,2004
121,Broach,GUJARAT,index.php?action=show_candidates&constituency_id=138,2004
122,Bulsar,GUJARAT,index.php?action=show_candidates&constituency_id=141,2004
123,Chhota Udaipur,GUJARAT,index.php?action=show_candidates&constituency_id=136,2004
124,Dhandhuka,GUJARAT,index.php?action=show_candidates&constituency_id=124,2004
125,Dohad,GUJARAT,index.php?action=show_candidates&constituency_id=132,2004
126,Gandhinagar,GUJARAT,index.php?action=show_candidates&constituency_id=126,2004
127,Godhra,GUJARAT,index.php?action=show_candidates&constituency_id=133,2004
128,Jamnagar,GUJARAT,index.php?action=show_candidates&constituency_id=118,2004
129,Junagadh,GUJARAT,index.php?action=show_candidates&constituency_id=121,2004
130,Kaira,GUJARAT,index.php?action=show_candidates&constituency_id=134,2004
131,Kapadvanj,GUJARAT,index.php?action=show_candidates&constituency_id=131,2004
132,Kutch,GUJARAT,index.php?action=show_candidates&constituency_id=116,2004
133,Mandvi,GUJARAT,index.php?action=show_candidates&constituency_id=140,2004
134,Mehsana,GUJARAT,index.php?action=show_candidates&constituency_id=127,2004
135,Patan,GUJARAT,index.php?action=show_candidates&constituency_id=128,2004
136,Porbandar,GUJARAT,index.php?action=show_candidates&constituency_id=120,2004
137,Rajkot,GUJARAT,index.php?action=show_candidates&constituency_id=119,2004
138,Sabarkantha,GUJARAT,index.php?action=show_candidates&constituency_id=130,2004
139,Surat,GUJARAT,index.php?action=show_candidates&constituency_id=139,2004
140,Surendranagar,GUJARAT,index.php?action=show_candidates&constituency_id=117,2004
141,Ambala,HARYANA,index.php?action=show_candidates&constituency_id=142,2004
142,Bhiwani,HARYANA,index.php?action=show_candidates&constituency_id=149,2004
143,Faridabad,HARYANA,index.php?action=show_candidates&constituency_id=147,2004
144,Hissar,HARYANA,index.php?action=show_candidates&constituency_id=150,2004
145,Karnal,HARYANA,index.php?action=show_candidates&constituency_id=144,2004
146,Kurukshetra,HARYANA,index.php?action=show_candidates&constituency_id=143,2004
147,Mahendragarh,HARYANA,index.php?action=show_candidates&constituency_id=148,2004
148,Rohtak,HARYANA,index.php?action=show_candidates&constituency_id=146,2004
149,Sirsa,HARYANA,index.php?action=show_candidates&constituency_id=151,2004
150,Sonepat,HARYANA,index.php?action=show_candidates&constituency_id=145,2004
151,Hamirpur,HIMACHAL PRADESH,index.php?action=show_candidates&constituency_id=155,2004
152,Kangra,HIMACHAL PRADESH,index.php?action=show_candidates&constituency_id=154,2004
153,Mandi,HIMACHAL PRADESH,index.php?action=show_candidates&constituency_id=153,2004
154,Simla,HIMACHAL PRADESH,index.php?action=show_candidates&constituency_id=152,2004
155,Anantnag,JAMMU & KASHMIR,index.php?action=show_candidates&constituency_id=158,2004
156,Baramulla,JAMMU & KASHMIR,index.php?action=show_candidates&constituency_id=156,2004
157,Jammu,JAMMU & KASHMIR,index.php?action=show_candidates&constituency_id=161,2004
158,Ladakh,JAMMU & KASHMIR,index.php?action=show_candidates&constituency_id=159,2004
159,Srinagar,JAMMU & KASHMIR,index.php?action=show_candidates&constituency_id=157,2004
160,Udhampur,JAMMU & KASHMIR,index.php?action=show_candidates&constituency_id=160,2004
161,Chatra,JHARKHAND,index.php?action=show_candidates&constituency_id=165,2004
162,Dhanbad,JHARKHAND,index.php?action=show_candidates&constituency_id=168,2004
163,Dumka,JHARKHAND,index.php?action=show_candidates&constituency_id=163,2004
164,Giridih,JHARKHAND,index.php?action=show_candidates&constituency_id=167,2004
165,Godda,JHARKHAND,index.php?action=show_candidates&constituency_id=164,2004
166,Hazaribagh,JHARKHAND,index.php?action=show_candidates&constituency_id=175,2004
167,Jamshedpur,JHARKHAND,index.php?action=show_candidates&constituency_id=170,2004
168,Khunti,JHARKHAND,index.php?action=show_candidates&constituency_id=172,2004
169,Kodarma,JHARKHAND,index.php?action=show_candidates&constituency_id=166,2004
170,Lohardaga,JHARKHAND,index.php?action=show_candidates&constituency_id=173,2004
171,Palamau,JHARKHAND,index.php?action=show_candidates&constituency_id=174,2004
172,Rajmahal,JHARKHAND,index.php?action=show_candidates&constituency_id=162,2004
173,Ranchi,JHARKHAND,index.php?action=show_candidates&constituency_id=169,2004
174,Singhbhum,JHARKHAND,index.php?action=show_candidates&constituency_id=171,2004
175,Bagalkot,KARNATAKA,index.php?action=show_candidates&constituency_id=202,2004
176,Bangalore North,KARNATAKA,index.php?action=show_candidates&constituency_id=187,2004
177,Bangalore South,KARNATAKA,index.php?action=show_candidates&constituency_id=188,2004
178,Belgaum,KARNATAKA,index.php?action=show_candidates&constituency_id=200,2004
179,Bellary,KARNATAKA,index.php?action=show_candidates&constituency_id=180,2004
180,Bidar,KARNATAKA,index.php?action=show_candidates&constituency_id=176,2004
181,Bijapur,KARNATAKA,index.php?action=show_candidates&constituency_id=203,2004
182,Chamarajanagar,KARNATAKA,index.php?action=show_candidates&constituency_id=190,2004
183,Chikballapur,KARNATAKA,index.php?action=show_candidates&constituency_id=184,2004
184,Chikkodi,KARNATAKA,index.php?action=show_candidates&constituency_id=201,2004
185,Chikmagalur,KARNATAKA,index.php?action=show_candidates&constituency_id=195,2004
186,Chitradurga,KARNATAKA,index.php?action=show_candidates&constituency_id=182,2004
187,Davangere,KARNATAKA,index.php?action=show_candidates&constituency_id=181,2004
188,Dharwad North,KARNATAKA,index.php?action=show_candidates&constituency_id=199,2004
189,Dharwad South,KARNATAKA,index.php?action=show_candidates&constituency_id=198,2004
190,Gulbarga,KARNATAKA,index.php?action=show_candidates&constituency_id=177,2004
191,Hassan,KARNATAKA,index.php?action=show_candidates&constituency_id=194,2004
192,Kanakapura,KARNATAKA,index.php?action=show_candidates&constituency_id=186,2004
193,Kanara,KARNATAKA,index.php?action=show_candidates&constituency_id=197,2004
194,Kolar,KARNATAKA,index.php?action=show_candidates&constituency_id=185,2004
195,Koppal,KARNATAKA,index.php?action=show_candidates&constituency_id=179,2004
196,Mandya,KARNATAKA,index.php?action=show_candidates&constituency_id=189,2004
197,Mangalore,KARNATAKA,index.php?action=show_candidates&constituency_id=192,2004
198,Mysore,KARNATAKA,index.php?action=show_candidates&constituency_id=191,2004
199,Raichur,KARNATAKA,index.php?action=show_candidates&constituency_id=178,2004
200,Shimoga,KARNATAKA,index.php?action=show_candidates&constituency_id=196,2004
201,Tumkur,KARNATAKA,index.php?action=show_candidates&constituency_id=183,2004
202,Udupi,KARNATAKA,index.php?action=show_candidates&constituency_id=193,2004
203,Adoor,KERALA,index.php?action=show_candidates&constituency_id=220,2004
204,Alleppey,KERALA,index.php?action=show_candidates&constituency_id=218,2004
205,Badagara,KERALA,index.php?action=show_candidates&constituency_id=206,2004
206,Calicut,KERALA,index.php?action=show_candidates&constituency_id=207,2004
207,Cannanore,KERALA,index.php?action=show_candidates&constituency_id=205,2004
208,Chirayinkil,KERALA,index.php?action=show_candidates&constituency_id=222,2004
209,Ernakulam,KERALA,index.php?action=show_candidates&constituency_id=214,2004
210,Idukki,KERALA,index.php?action=show_candidates&constituency_id=217,2004
211,Kasaragod,KERALA,index.php?action=show_candidates&constituency_id=204,2004
212,Kottayam,KERALA,index.php?action=show_candidates&constituency_id=216,2004
213,Manjeri,KERALA,index.php?action=show_candidates&constituency_id=208,2004
214,Mavelikara,KERALA,index.php?action=show_candidates&constituency_id=219,2004
215,Mukundapuram,KERALA,index.php?action=show_candidates&constituency_id=213,2004
216,Muvattupuzha,KERALA,index.php?action=show_candidates&constituency_id=215,2004
217,Ottapalam,KERALA,index.php?action=show_candidates&constituency_id=211,2004
218,Palghat,KERALA,index.php?action=show_candidates&constituency_id=210,2004
219,Ponnani,KERALA,index.php?action=show_candidates&constituency_id=209,2004
220,Quilon,KERALA,index.php?action=show_candidates&constituency_id=221,2004
221,Trichur,KERALA,index.php?action=show_candidates&constituency_id=212,2004
222,Trivandrum,KERALA,index.php?action=show_candidates&constituency_id=223,2004
223,Lakshadweep,LAKSHADWEEP,index.php?action=show_candidates&constituency_id=224,2004
224,Balaghat,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=236,2004
225,Betul,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=241,2004
226,Bhind,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=226,2004
227,Bhopal,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=243,2004
228,Chhindwara,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=240,2004
229,Damoh,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=231,2004
230,Dhar,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=249,2004
231,Guna,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=228,2004
232,Gwalior,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=227,2004
233,Hoshangabad,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=242,2004
234,Indore,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=250,2004
235,Jabalpur,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=238,2004
236,Jhabua,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=252,2004
237,Khajuraho,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=230,2004
238,Khandwa,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=247,2004
239,Khargone,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=248,2004
240,Mandla,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=237,2004
241,Mandsaur,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=253,2004
242,Morena,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=225,2004
243,Rajgarh,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=245,2004
244,Rewa,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=233,2004
245,Sagar,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=229,2004
246,Satna,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=232,2004
247,Seoni,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=239,2004
248,Shahdol,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=235,2004
249,Shajapur,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=246,2004
250,Sidhi,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=234,2004
251,Ujjain,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=251,2004
252,Vidisha,MADHYA PRADESH,index.php?action=show_candidates&constituency_id=244,2004
253,Ahmednagar,MAHARASHTRA,index.php?action=show_candidates&constituency_id=292,2004
254,Akola,MAHARASHTRA,index.php?action=show_candidates&constituency_id=272,2004
255,Amravati,MAHARASHTRA,index.php?action=show_candidates&constituency_id=274,2004
256,Aurangabad,MAHARASHTRA,index.php?action=show_candidates&constituency_id=286,2004
257,Baramati,MAHARASHTRA,index.php?action=show_candidates&constituency_id=296,2004
258,Beed,MAHARASHTRA,index.php?action=show_candidates&constituency_id=287,2004
259,Bhandara,MAHARASHTRA,index.php?action=show_candidates&constituency_id=277,2004
260,Buldhana,MAHARASHTRA,index.php?action=show_candidates&constituency_id=271,2004
261,Chandrapur,MAHARASHTRA,index.php?action=show_candidates&constituency_id=279,2004
262,Chimur,MAHARASHTRA,index.php?action=show_candidates&constituency_id=278,2004
263,Dahanu,MAHARASHTRA,index.php?action=show_candidates&constituency_id=264,2004
264,Dhule,MAHARASHTRA,index.php?action=show_candidates&constituency_id=267,2004
265,Erandol,MAHARASHTRA,index.php?action=show_candidates&constituency_id=269,2004
266,Hingoli,MAHARASHTRA,index.php?action=show_candidates&constituency_id=282,2004
267,Ichalkaranji,MAHARASHTRA,index.php?action=show_candidates&constituency_id=300,2004
268,Jalgaon,MAHARASHTRA,index.php?action=show_candidates&constituency_id=270,2004
269,Jalna,MAHARASHTRA,index.php?action=show_candidates&constituency_id=285,2004
270,Karad,MAHARASHTRA,index.php?action=show_candidates&constituency_id=298,2004
271,Khed,MAHARASHTRA,index.php?action=show_candidates&constituency_id=294,2004
272,Kolaba,MAHARASHTRA,index.php?action=show_candidates&constituency_id=256,2004
273,Kolhapur,MAHARASHTRA,index.php?action=show_candidates&constituency_id=301,2004
274,Kopargaon,MAHARASHTRA,index.php?action=show_candidates&constituency_id=293,2004
275,Latur,MAHARASHTRA,index.php?action=show_candidates&constituency_id=288,2004
276,Malegaon,MAHARASHTRA,index.php?action=show_candidates&constituency_id=266,2004
277,Mumbai North,MAHARASHTRA,index.php?action=show_candidates&constituency_id=262,2004
278,Mumbai North Central,MAHARASHTRA,index.php?action=show_candidates&constituency_id=259,2004
279,Mumbai North East,MAHARASHTRA,index.php?action=show_candidates&constituency_id=260,2004
280,Mumbai North West,MAHARASHTRA,index.php?action=show_candidates&constituency_id=261,2004
281,Mumbai South,MAHARASHTRA,index.php?action=show_candidates&constituency_id=257,2004
282,Mumbai South Central,MAHARASHTRA,index.php?action=show_candidates&constituency_id=258,2004
283,Nagpur,MAHARASHTRA,index.php?action=show_candidates&constituency_id=276,2004
284,Nanded,MAHARASHTRA,index.php?action=show_candidates&constituency_id=283,2004
285,Nandurbar,MAHARASHTRA,index.php?action=show_candidates&constituency_id=268,2004
286,Nashik,MAHARASHTRA,index.php?action=show_candidates&constituency_id=265,2004
287,Osmanabad,MAHARASHTRA,index.php?action=show_candidates&constituency_id=289,2004
288,Pandharpur,MAHARASHTRA,index.php?action=show_candidates&constituency_id=291,2004
289,Parbhani,MAHARASHTRA,index.php?action=show_candidates&constituency_id=284,2004
290,Pune,MAHARASHTRA,index.php?action=show_candidates&constituency_id=295,2004
291,Rajapur,MAHARASHTRA,index.php?action=show_candidates&constituency_id=254,2004
292,Ramtek,MAHARASHTRA,index.php?action=show_candidates&constituency_id=275,2004
293,Ratnagiri,MAHARASHTRA,index.php?action=show_candidates&constituency_id=255,2004
294,Sangli,MAHARASHTRA,index.php?action=show_candidates&constituency_id=299,2004
295,Satara,MAHARASHTRA,index.php?action=show_candidates&constituency_id=297,2004
296,Sholapur,MAHARASHTRA,index.php?action=show_candidates&constituency_id=290,2004
297,Thane,MAHARASHTRA,index.php?action=show_candidates&constituency_id=263,2004
298,Wardha,MAHARASHTRA,index.php?action=show_candidates&constituency_id=280,2004
299,Washim,MAHARASHTRA,index.php?action=show_candidates&constituency_id=273,2004
300,Yavatmal,MAHARASHTRA,index.php?action=show_candidates&constituency_id=281,2004
301,Inner Manipur,MANIPUR,index.php?action=show_candidates&constituency_id=302,2004
302,Outer Manipur,MANIPUR,index.php?action=show_candidates&constituency_id=303,2004
303,Shillong,MEGHALAYA,index.php?action=show_candidates&constituency_id=304,2004
304,Tura,MEGHALAYA,index.php?action=show_candidates&constituency_id=305,2004
305,Mizoram,MIZORAM,index.php?action=show_candidates&constituency_id=306,2004
306,Nagaland,NAGALAND,index.php?action=show_candidates&constituency_id=307,2004
307,Chandni Chowk,NATIONAL CAPITAL TERRITORY OF DELHI,index.php?action=show_candidates&constituency_id=312,2004
308,Delhi Sadar,NATIONAL CAPITAL TERRITORY OF DELHI,index.php?action=show_candidates&constituency_id=313,2004
309,East Delhi,NATIONAL CAPITAL TERRITORY OF DELHI,index.php?action=show_candidates&constituency_id=311,2004
310,Karol Bagh,NATIONAL CAPITAL TERRITORY OF DELHI,index.php?action=show_candidates&constituency_id=314,2004
311,New Delhi,NATIONAL CAPITAL TERRITORY OF DELHI,index.php?action=show_candidates&constituency_id=308,2004
312,Outer Delhi,NATIONAL CAPITAL TERRITORY OF DELHI,index.php?action=show_candidates&constituency_id=310,2004
313,South Delhi,NATIONAL CAPITAL TERRITORY OF DELHI,index.php?action=show_candidates&constituency_id=309,2004
314,Aska,ORISSA,index.php?action=show_candidates&constituency_id=324,2004
315,Balasore,ORISSA,index.php?action=show_candidates&constituency_id=316,2004
316,Berhampur,ORISSA,index.php?action=show_candidates&constituency_id=325,2004
317,Bhadrak,ORISSA,index.php?action=show_candidates&constituency_id=317,2004
318,Bhubaneswar,ORISSA,index.php?action=show_candidates&constituency_id=323,2004
319,Bolangir,ORISSA,index.php?action=show_candidates&constituency_id=330,2004
320,Cuttack,ORISSA,index.php?action=show_candidates&constituency_id=320,2004
321,Deogarh,ORISSA,index.php?action=show_candidates&constituency_id=332,2004
322,Dhenkanal,ORISSA,index.php?action=show_candidates&constituency_id=333,2004
323,Jagatsinghpur,ORISSA,index.php?action=show_candidates&constituency_id=321,2004
324,Jajpur,ORISSA,index.php?action=show_candidates&constituency_id=318,2004
325,Kalahandi,ORISSA,index.php?action=show_candidates&constituency_id=328,2004
326,Kendrapara,ORISSA,index.php?action=show_candidates&constituency_id=319,2004
327,Keonjhar,ORISSA,index.php?action=show_candidates&constituency_id=335,2004
328,Koraput,ORISSA,index.php?action=show_candidates&constituency_id=326,2004
329,Mayurbhanj,ORISSA,index.php?action=show_candidates&constituency_id=315,2004
330,Nowrangpur,ORISSA,index.php?action=show_candidates&constituency_id=327,2004
331,Phulbani,ORISSA,index.php?action=show_candidates&constituency_id=329,2004
332,Puri,ORISSA,index.php?action=show_candidates&constituency_id=322,2004
333,Sambalpur,ORISSA,index.php?action=show_candidates&constituency_id=331,2004
334,Sundargarh,ORISSA,index.php?action=show_candidates&constituency_id=334,2004
335,Pondicherry,PONDICHERRY,index.php?action=show_candidates&constituency_id=336,2004
336,Amritsar,PUNJAB,index.php?action=show_candidates&constituency_id=338,2004
337,Bhatinda,PUNJAB,index.php?action=show_candidates&constituency_id=347,2004
338,Faridkot,PUNJAB,index.php?action=show_candidates&constituency_id=348,2004
339,Ferozepur,PUNJAB,index.php?action=show_candidates&constituency_id=349,2004
340,Gurdaspur,PUNJAB,index.php?action=show_candidates&constituency_id=337,2004
341,Hoshiarpur,PUNJAB,index.php?action=show_candidates&constituency_id=342,2004
342,Jullundur,PUNJAB,index.php?action=show_candidates&constituency_id=340,2004
343,Ludhiana,PUNJAB,index.php?action=show_candidates&constituency_id=345,2004
344,Patiala,PUNJAB,index.php?action=show_candidates&constituency_id=344,2004
345,Phillaur,PUNJAB,index.php?action=show_candidates&constituency_id=341,2004
346,Ropar,PUNJAB,index.php?action=show_candidates&constituency_id=343,2004
347,Sangrur,PUNJAB,index.php?action=show_candidates&constituency_id=346,2004
348,Tarn Taran,PUNJAB,index.php?action=show_candidates&constituency_id=339,2004
349,Ajmer,RAJASTHAN,index.php?action=show_candidates&constituency_id=361,2004
350,Alwar,RAJASTHAN,index.php?action=show_candidates&constituency_id=357,2004
351,Banswara,RAJASTHAN,index.php?action=show_candidates&constituency_id=365,2004
352,Barmer,RAJASTHAN,index.php?action=show_candidates&constituency_id=372,2004
353,Bayana,RAJASTHAN,index.php?action=show_candidates&constituency_id=359,2004
354,Bharatpur,RAJASTHAN,index.php?action=show_candidates&constituency_id=358,2004
355,Bhilwara,RAJASTHAN,index.php?action=show_candidates&constituency_id=369,2004
356,Bikaner,RAJASTHAN,index.php?action=show_candidates&constituency_id=351,2004
357,Chittorgarh,RAJASTHAN,index.php?action=show_candidates&constituency_id=368,2004
358,Churu,RAJASTHAN,index.php?action=show_candidates&constituency_id=352,2004
359,Dausa,RAJASTHAN,index.php?action=show_candidates&constituency_id=356,2004
360,Ganganagar,RAJASTHAN,index.php?action=show_candidates&constituency_id=350,2004
361,Jaipur,RAJASTHAN,index.php?action=show_candidates&constituency_id=355,2004
362,Jalore,RAJASTHAN,index.php?action=show_candidates&constituency_id=371,2004
363,Jhalawar,RAJASTHAN,index.php?action=show_candidates&constituency_id=364,2004
364,Jhunjhunu,RAJASTHAN,index.php?action=show_candidates&constituency_id=353,2004
365,Jodhpur,RAJASTHAN,index.php?action=show_candidates&constituency_id=373,2004
366,Kota,RAJASTHAN,index.php?action=show_candidates&constituency_id=363,2004
367,Nagaur,RAJASTHAN,index.php?action=show_candidates&constituency_id=374,2004
368,Pali,RAJASTHAN,index.php?action=show_candidates&constituency_id=370,2004
369,Salumber,RAJASTHAN,index.php?action=show_candidates&constituency_id=366,2004
