,age,CrimCases,Educ,Gender,ipclist,immov_total,mov_total,Name,nr_cases,pan,party,serious_cases,total_assets,total_liab,cons_id,consistuency,district,election,cand_id,cand_link,win,assets_old1,increase,name2,new_id,old_id,pct_change,elec_link,elec_link_old,assets_old2,liab_old2,year_prev_elect,win_prev_elect,tot_wins,incumbent,Cogniz,Convict,Framed,bonds,cash,accounts,jewels,insurance,vehicles,postal,other_mov,agri,commercial,nonagri,others,resid,Educ_clean,state
2,54.0,True,10th Pass,M,[],59202550,39707104,Bodimalla Gurunatha Reddy,4.0,Y,Yuvajana Sramika Rythu Congress Party,0.0,98909654,10833792,282,Anantapur Urban,Anantapur,andhra2014,1886,http://myneta.info/andhra2014/candidate.php?candidate_id=1886,False,28238318.0,70671336.0,Bodimalla Gurunatha Reddy,1886.0,1998.0,250.0,http://myneta.info/andhra2014/candidate.php?candidate_id=1886,http://myneta.info/ap09/candidate.php?candidate_id=1998,28238318.0,508716.0,2009.0,1.0,2.0,True,,,4.0,5145420.0,764200.0,19928960.0,0.0,1403600.0,7769924.0,,4695000.0,27960000.0,,21107100.0,,10135450.0,Primary,Andhra
27,34.0,False,Graduate Professional,M,[],19670700,16626987,Kethireddy Venkata Rami Reddy,0.0,Y,Yuvajana Sramika Rythu Congress Party,0.0,36297687,3387458,289,Dharmavaram,Anantapur,andhra2014,1906,http://myneta.info/andhra2014/candidate.php?candidate_id=1906,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=1906,http://myneta.info/ap09/candidate.php?candidate_id=2083,8203120.0,387000.0,2009.0,1.0,1.0,True,,,,2405312.0,1140600.0,4014276.0,737960.0,,2500000.0,1629109.0,4200000.0,14670700.0,,,,5000000.0,Grad,Andhra
33,48.0,False,Graduate Professional,M,[],17500000,3856938,Nagu Ravindra Reddy,0.0,Y,IND,0.0,21356938,12619239,289,Dharmavaram,Anantapur,andhra2014,1891,http://myneta.info/andhra2014/candidate.php?candidate_id=1891,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=1891,http://myneta.info/ap09/candidate.php?candidate_id=2096,4225000.0,0.0,2009.0,0.0,0.0,False,,,,,415660.0,14563.0,784600.0,,1098315.0,100000.0,1250000.0,,17500000.0,,,,Grad,Andhra
74,46.0,True,Graduate Professional,M,"[u' bribery(171E)', u'Murder(302)', u'Attempt to murder(307)', u'Voluntarily causing hurt by dangerous weapons or means(324)', u' theft(379)', u'Robbery, or dacoity, with attempt to cause death or grievous hurt(397)', u'Criminal breach of trust by public servant, or by banker, merchant or agent(409)', u'Dishonestly receiving stolen property(411)', u'Cheating and dishonestly inducing delivery of property(420)', u'Forgery of valuable security, will, etc.(467)', u'Forgery for purpose of cheating(468)', u' criminal intimidation(506)', u'Acts done by several persons in furtherance of common intention(34)', u'Punishment of abetment if the act abetted is committed in consequence, and where no express provision is made for its punishment(109)', u'Punishment of criminal conspiracy(120B)', u'Being member of an unlawful assembly(143)', u' rioting(147)', u'Rioting, armed with deadly weapon(148)', u'Every member of unlawful assembly guilty of offence committed in prosecution of common object(149)', u' wrongful restraint(341)', u'Assault or criminal force to deter public servant from discharge of his duty(353)', u' cheating by personation(419)', u'Mischief causing damage to the amount of fifty rupees(427)', u' house-trespass(448)', u'Using as genuine a forged document or electronic record(471)']",16500000,5866000,Kandikunta Venkata Prasad,6.0,Y,TDP,14.0,22366000,0,290,Kadiri,Anantapur,andhra2014,1958,http://myneta.info/andhra2014/candidate.php?candidate_id=1958,False,17489800.0,4876200.0,Kandikunta Venkata Prasad,1958.0,2107.0,28.0,http://myneta.info/andhra2014/candidate.php?candidate_id=1958,http://myneta.info/ap09/candidate.php?candidate_id=2107,17489800.0,4200000.0,2009.0,1.0,1.0,True,,,6.0,1000000.0,350000.0,6000.0,700000.0,2500000.0,,,1310000.0,,6000000.0,,10500000.0,,Grad,Andhra
113,37.0,False,Post Graduate,M,[],1900000,3935000,P Sreenath Reddy,0.0,Y,IND,0.0,5835000,0,288,Puttaparthi,Anantapur,andhra2014,1999,http://myneta.info/andhra2014/candidate.php?candidate_id=1999,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=1999,http://myneta.info/ap09/candidate.php?candidate_id=2426,1547500.0,98000.0,2009.0,0.0,0.0,False,,,,,100000.0,35000.0,,3200000.0,,,600000.0,700000.0,,1200000.0,,,Post_Grad,Andhra
114,62.0,True,Doctorate,M,"[u'Disobedience to order duly promulgated by public servant(188)', u'Danger or obstruction in public way or line of navigation(283)', u'Attempt to commit suicide(309)']",357036000,63430934,Palle Raghunatha Reddy,5.0,Y,TDP,0.0,420466934,31296039,288,Puttaparthi,Anantapur,andhra2014,2002,http://myneta.info/andhra2014/candidate.php?candidate_id=2002,True,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=2002,http://myneta.info/ap09/candidate.php?candidate_id=2073,290935931.0,2123289.0,2009.0,1.0,1.0,True,5.0,,,1362401.0,150000.0,789029.0,11222948.0,4684096.0,,,5255000.0,32629000.0,271245000.0,55717000.0,,5210000.0,Post_Grad,Andhra
133,40.0,False,Graduate Professional,M,[],23500000,6481436,Thopudurthy Prakash Reddy,0.0,Y,Yuvajana Sramika Rythu Congress Party,0.0,29981436,25000,284,Raptadu,Anantapur,andhra2014,2024,http://myneta.info/andhra2014/candidate.php?candidate_id=2024,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=2024,http://myneta.info/ap09/candidate.php?candidate_id=2022,1319268.0,280000.0,2009.0,0.0,0.0,False,,,,2246000.0,250000.0,181236.0,,2630200.0,,,1170000.0,3000000.0,,20500000.0,,,Grad,Andhra
138,50.0,True,Post Graduate,M,"[u' criminal intimidation(506)', u' rioting(147)', u'Rioting, armed with deadly weapon(148)', u'Every member of unlawful assembly guilty of offence committed in prosecution of common object(149)', u'Disobedience to order duly promulgated by public servant(188)', u'Danger or obstruction in public way or line of navigation(283)', u'Act endangering life or personal safety of others(336)', u'Mischief causing damage to the amount of fifty rupees(427)']",23644000,5321327,Kalava Srinivasulu,6.0,Y,TDP,1.0,28965327,2439829,277,Rayadurg,Anantapur,andhra2014,2037,http://myneta.info/andhra2014/candidate.php?candidate_id=2037,True,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=2037,http://myneta.info/loksabha2004/candidate.php?candidate_id=26,300320.0,88000.0,2004.0,0.0,0.0,False,6.0,,,90470.0,180000.0,127857.0,1698000.0,985000.0,,125000.0,2115000.0,1000000.0,,,,20050000.0,Post_Grad,Andhra
139,51.0,True,Post Graduate,M,"[u' bribery(171E)', u' criminal intimidation(506)', u'Being member of an unlawful assembly(143)', u' rioting(147)', u'Rioting, armed with deadly weapon(148)', u'Every member of unlawful assembly guilty of offence committed in prosecution of common object(149)', u'Disobedience to order duly promulgated by public servant(188)', u'Attempt to commit suicide(309)', u'Mischief by destroying or moving, etc., a land- mark fixed by public authority(434)']",33076000,38069140,Kapu Ramachandra Reddy,7.0,Y,Yuvajana Sramika Rythu Congress Party,5.0,71145140,6782847,277,Rayadurg,Anantapur,andhra2014,2039,http://myneta.info/andhra2014/candidate.php?candidate_id=2039,False,49535363.0,21609777.0,Kapu Ramachandra Reddy,2039.0,1942.0,44.0,http://myneta.info/andhra2014/candidate.php?candidate_id=2039,http://myneta.info/ap09/candidate.php?candidate_id=1942,49535363.0,3442897.0,2009.0,1.0,2.0,True,7.0,,,157296.0,2064844.0,6191147.0,531092.0,326190.0,16604000.0,535000.0,7645647.0,5819000.0,1330000.0,8753000.0,,17174000.0,Post_Grad,Andhra
164,62.0,True,Graduate,M,"[u'Attempt to murder(307)', u'Voluntarily causing hurt by dangerous weapons or means(324)', u'Voluntarily causing hurt to deter public servant from his duty(332)', u'Theft in dwelling house, etc.(380)', u'Mischief by destroying or moving, etc., a land- mark fixed by public authority Mischief by fire or explosive substance with intent to cause damage to amount of one hundred or (in case of agricultural produce) ten rupees(435)', u'Mischief by fire or explosive substance with intent to destroy house, etc.(436)', u'House-trespass after preparation for hurt, assault or wrongful restraint(452)', u' criminal intimidation(506)', u'Acts done by several persons in furtherance of common intention(34)', u'Being member of an unlawful assembly(143)', u' rioting(147)', u'Rioting, armed with deadly weapon(148)', u'Every member of unlawful assembly guilty of offence committed in prosecution of common object(149)', u'Disobedience to order duly promulgated by public servant(188)', u' wrongful restraint(341)', u'Assault or criminal force to deter public servant from discharge of his duty(353)', u'Mischief causing damage to the amount of fifty rupees(427)']",400330000,78589717,J.C.Prabhakar Reddy,10.0,Y,TDP,12.0,478919717,73302965,280,Tadpatri,Anantapur,andhra2014,2077,http://myneta.info/andhra2014/candidate.php?candidate_id=2077,True,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=2077,http://myneta.info/ap09/candidate.php?candidate_id=1981,52160000.0,1252599.0,2009.0,0.0,0.0,False,8.0,,2.0,21983215.5,2130300.0,703334.9,652718.0,100000.0,43243449.46,660000.0,9116700.0,59230000.0,,208100000.0,,133000000.0,Grad,Andhra
179,48.0,True,Post Graduate,M,"[u'Acts done by several persons in furtherance of common intention(34)', u'Disobedience to order duly promulgated by public servant(188)', u'Danger or obstruction in public way or line of navigation(283)']",108027000,3867795,Payyavula Keshav,2.0,Y,TDP,0.0,111894795,500000,278,Uravakonda,Anantapur,andhra2014,2092,http://myneta.info/andhra2014/candidate.php?candidate_id=2092,False,1326738.0,110568057.0,Payyavula Keshav,2092.0,1950.0,8334.0,http://myneta.info/andhra2014/candidate.php?candidate_id=2092,http://myneta.info/ap09/candidate.php?candidate_id=1950,1326738.0,285445.0,2009.0,1.0,1.0,True,,,2.0,270140.0,250000.0,897655.0,30000.0,1080000.0,,,1340000.0,94909000.0,,13118000.0,,,Post_Grad,Andhra
185,69.0,False,Graduate,F,[],211910365,7738331083,Galla Arunakumari,0.0,Y,TDP,0.0,7950241448,9065730,295,Chandragiri,Chitoor,andhra2014,2104,http://myneta.info/andhra2014/candidate.php?candidate_id=2104,False,70312891.0,7879928557.0,Galla Arunakumari,2104.0,2174.0,11207.0,http://myneta.info/andhra2014/candidate.php?candidate_id=2104,http://myneta.info/ap09/candidate.php?candidate_id=2174,70312891.0,0.0,2009.0,1.0,1.0,True,,,,7651205175.0,233004.0,18469223.0,1454626.0,,54475913.0,,12313142.0,35635035.0,105450000.0,56660750.0,,14164580.0,Grad,Andhra
200,61.0,True,Graduate,M,"[u'Causing death by negligence(304A)', u'Kidnapping or abducting with intent secretly and wrongfully to confine person(365)', u'Kidnapping or abducting in order to subject person to grievous hurt, slavery, etc.(367)', u'Wrongfully concealing or keeping in confinement, kidnapped or abducted person(368)', u' rioting(147)', u'Rioting, armed with deadly weapon(148)', u'Every member of unlawful assembly guilty of offence committed in prosecution of common object(149)', u' voluntarily causing hurt(323)']",430273944,216886280,Jangalapalli Srinivasulu (Jmc),6.0,Y,Yuvajana Sramika Rythu Congress Party,4.0,647160224,135434367,301,Chittoor,Chitoor,andhra2014,4485,http://myneta.info/andhra2014/candidate.php?candidate_id=4485,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=4485,http://myneta.info/ap09/candidate.php?candidate_id=2255,170410772.0,6996758.0,2009.0,0.0,0.0,False,3.0,,3.0,160064340.0,175700.0,552072.0,697009.0,43594187.0,2451439.0,,9351533.0,192784000.0,81161300.0,133374644.0,,25868000.0,Grad,Andhra
227,64.0,True,Post Graduate,M,[],426883883,1348011728,Nara Chandra Babu Naidu,3.0,Y,TDP,0.0,1774895611,163451451,304,Kuppam,Chitoor,andhra2014,2150,http://myneta.info/andhra2014/candidate.php?candidate_id=2150,True,686738373.0,1088157238.0,Nara Chandra Babu Naidu,2150.0,2415.0,158.0,http://myneta.info/andhra2014/candidate.php?candidate_id=2150,http://myneta.info/ap09/candidate.php?candidate_id=2415,686738373.0,170944376.0,2009.0,1.0,1.0,True,3.0,,,1112403392.0,59100.0,5235669.0,9415446.0,,205911794.0,1000.0,15044427.0,119580000.0,205838603.0,,,101465280.0,Post_Grad,Andhra
231,56.0,False,Graduate,M,[],18000000,13494789,Challapalle Narasimha Reddy,0.0,Y,BJP,0.0,31494789,10749361,293,Madanapalle,Chitoor,andhra2014,2159,http://myneta.info/andhra2014/candidate.php?candidate_id=2159,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=2159,http://myneta.info/ap09/candidate.php?candidate_id=2125,4974431.0,2756365.0,2009.0,0.0,0.0,False,,,,,2208750.0,3400.0,1225000.0,98498.0,7931391.0,,2031150.0,3000000.0,,,,15000000.0,Grad,Andhra
238,43.0,True,10th Pass,M,[u'Disobedience to order duly promulgated by public servant(188)'],32150000,6902500,M.Shajahan Basha,1.0,Y,INC,0.0,39052500,3400000,293,Madanapalle,Chitoor,andhra2014,2169,http://myneta.info/andhra2014/candidate.php?candidate_id=2169,False,19637346.0,19415154.0,M.Shajahan Basha,2169.0,2150.0,99.0,http://myneta.info/andhra2014/candidate.php?candidate_id=2169,http://myneta.info/ap09/candidate.php?candidate_id=2150,19637346.0,85000.0,2009.0,1.0,1.0,True,,,1.0,,600000.0,2500.0,1800000.0,,,,4500000.0,10000000.0,11150000.0,2000000.0,,9000000.0,Primary,Andhra
263,54.0,True,Graduate,M,"[u'Mischief by killing or maiming cattle, etc., of any value or any animal of the value of fifty rupees(429)', u'Act endangering life or personal safety of others(336)']",50650663,29685404,N.Amaranath Reddy,1.0,Y,Yuvajana Sramika Rythu Congress Party,1.0,80336067,8685252,303,Palamaner,Chitoor,andhra2014,2207,http://myneta.info/andhra2014/candidate.php?candidate_id=2207,True,18697235.0,61638832.0,N.Amaranath Reddy,2207.0,2403.0,330.0,http://myneta.info/andhra2014/candidate.php?candidate_id=2207,http://myneta.info/ap09/candidate.php?candidate_id=2403,18697235.0,3227973.0,2009.0,1.0,1.0,True,1.0,,,5087326.0,748136.0,6104095.0,1816625.0,653004.0,9672623.0,,3000000.0,14615000.0,6035663.0,20000000.0,,10000000.0,Grad,Andhra
267,57.0,False,12th Pass,M,[],640000,625000,Asadi Venkatadri,0.0,Y,Rashtriya Krantikari Samajwadi Party,0.0,1265000,80000,292,Pileru,Chitoor,andhra2014,2213,http://myneta.info/andhra2014/candidate.php?candidate_id=2213,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=2213,http://myneta.info/ap09/candidate.php?candidate_id=2140,2930000.0,130000.0,2009.0,0.0,0.0,False,,,,,500000.0,,,,,,125000.0,340000.0,,,,300000.0,HS,Andhra
281,48.0,False,Graduate,M,[],10100000,6850000,Grendhem Ramesh Babu,0.0,Y,Jai Samaikyandhra Party,0.0,16950000,300000,294,Punganur,Chitoor,andhra2014,2231,http://myneta.info/andhra2014/candidate.php?candidate_id=2231,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=2231,http://myneta.info/ap09/candidate.php?candidate_id=2162,5660000.0,1100000.0,2009.0,0.0,0.0,False,,,,,1200000.0,,2800000.0,150000.0,,,2700000.0,1500000.0,,3600000.0,,5000000.0,Grad,Andhra
284,62.0,False,Doctorate,M,[],596506765,34912941,P Ramachandra Reddy,0.0,Y,Yuvajana Sramika Rythu Congress Party,0.0,631419706,0,294,Punganur,Chitoor,andhra2014,2236,http://myneta.info/andhra2014/candidate.php?candidate_id=2236,True,42828523.0,588591183.0,P Ramachandra Reddy,2236.0,2163.0,1374.0,http://myneta.info/andhra2014/candidate.php?candidate_id=2236,http://myneta.info/ap09/candidate.php?candidate_id=2163,42828523.0,0.0,2009.0,1.0,1.0,True,,,,28329530.0,497038.0,323448.0,,,5692925.0,,2170000.0,71231765.0,151865000.0,314150000.0,,3260000.0,Post_Grad,Andhra
312,65.0,False,Graduate Professional,M,[],46000000,1782139,Gopala Krishna Reddy Bojjala,0.0,Y,TDP,0.0,47782139,0,297,Srikalahasti,Chitoor,andhra2014,2282,http://myneta.info/andhra2014/candidate.php?candidate_id=2282,True,25855073.0,21927066.0,Gopala Krishna Reddy Bojjala,2282.0,2205.0,85.0,http://myneta.info/andhra2014/candidate.php?candidate_id=2282,http://myneta.info/ap09/candidate.php?candidate_id=2205,25855073.0,407094.0,2009.0,1.0,1.0,True,,,,,25000.0,77139.0,,,,,1680000.0,4500000.0,1000000.0,,,40500000.0,Grad,Andhra
365,59.0,True,Post Graduate,M,[u'Disobedience to order duly promulgated by public servant(188)'],7400000,6329059,Babu Rao Golla,1.0,Y,Yuvajana Sramika Rythu Congress Party,0.0,13729059,0,169,Amalapuram,East Godavari,andhra2014,3106,http://myneta.info/andhra2014/candidate.php?candidate_id=3106,False,3014000.0,10715059.0,Babu Rao Golla,3106.0,1171.0,356.0,http://myneta.info/andhra2014/candidate.php?candidate_id=3106,http://myneta.info/ap09/candidate.php?candidate_id=1171,3014000.0,0.0,2009.0,1.0,2.0,True,,,1.0,,90000.0,3104059.0,85000.0,800000.0,,,2250000.0,3500000.0,,900000.0,,3000000.0,Post_Grad,Andhra
403,37.0,False,Post Graduate,M,[],39000000,1923000,Jyothula Naga Veera Venkata Vishnu Satya Marthandarao,0.0,Y,TDP,0.0,40923000,8453341,177,Jaggampeta,East Godavari,andhra2014,3128,http://myneta.info/andhra2014/candidate.php?candidate_id=3128,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=3128,http://myneta.info/ap09/candidate.php?candidate_id=2826,12380000.0,9566685.0,2009.0,0.0,0.0,False,,,,,500000.0,40000.0,,,,,1380000.0,18000000.0,20000000.0,,,1000000.0,Post_Grad,Andhra
415,47.0,True,12th Pass,M,"[u' criminal intimidation(506)', u' rioting(147)', u'Every member of unlawful assembly guilty of offence committed in prosecution of common object(149)', u'Obstructing public servant in discharge of public functions(186)', u' voluntarily causing hurt(323)']",360639000,25617000,Dwarampudi Chandrasekhara Reddy,1.0,Y,Yuvajana Sramika Rythu Congress Party,1.0,386256000,147678000,166,Kakinada City,East Godavari,andhra2014,3139,http://myneta.info/andhra2014/candidate.php?candidate_id=3139,False,202728660.0,183527340.0,Dwarampudi Chandrasekhara Reddy,3139.0,2699.0,91.0,http://myneta.info/andhra2014/candidate.php?candidate_id=3139,http://myneta.info/ap09/candidate.php?candidate_id=2699,202728660.0,35595000.0,2009.0,1.0,1.0,True,,,1.0,1616000.0,1425000.0,,1112000.0,,5891000.0,,15000000.0,16000000.0,246500000.0,18739000.0,12000000.0,47400000.0,HS,Andhra
428,56.0,False,Post Graduate,M,[],30950000,6303153,Y D Ramarao,0.0,Y,Lok Satta Party,0.0,37253153,7418557,166,Kakinada City,East Godavari,andhra2014,3145,http://myneta.info/andhra2014/candidate.php?candidate_id=3145,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=3145,http://myneta.info/ap09/candidate.php?candidate_id=2658,46758970.0,710000.0,2009.0,0.0,0.0,False,,,,1708658.0,500000.0,170605.0,1263401.0,456489.0,300000.0,,1994000.0,9400000.0,,13150000.0,,8400000.0,Post_Grad,Andhra
447,50.0,False,Graduate,M,[],23200000,19347090,Bandaru Satyananda Rao,0.0,Y,TDP,0.0,42547090,14484766,172,Kothapeta,East Godavari,andhra2014,4144,http://myneta.info/andhra2014/candidate.php?candidate_id=4144,False,20232580.0,22314510.0,Bandaru Satyananda Rao,4144.0,2774.0,110.0,http://myneta.info/andhra2014/candidate.php?candidate_id=4144,http://myneta.info/ap09/candidate.php?candidate_id=2774,20232580.0,1284780.0,2009.0,1.0,1.0,True,,,,13477090.0,1810000.0,,2950000.0,700000.0,,,410000.0,14900000.0,3300000.0,,,5000000.0,Grad,Andhra
460,59.0,False,Graduate,M,[],79877370,97029090,Jogeswara Rao. V,0.0,Y,TDP,0.0,176906460,22673880,173,Mandapeta,East Godavari,andhra2014,3169,http://myneta.info/andhra2014/candidate.php?candidate_id=3169,True,57618792.0,119287668.0,Jogeswara Rao. V,3169.0,2782.0,207.0,http://myneta.info/andhra2014/candidate.php?candidate_id=3169,http://myneta.info/ap09/candidate.php?candidate_id=2782,57618792.0,575794.0,2009.0,1.0,1.0,True,,,,14667340.0,545072.0,81969.0,1603377.0,,8065723.0,900000.0,11124000.0,4951000.0,14600000.0,52226370.0,,8100000.0,Grad,Andhra
506,50.0,True,10th Pass,M,[],45453700,177504827,S.V.S.N. Varma,1.0,Y,IND,0.0,222958527,21383659,162,Pithapuram,East Godavari,andhra2014,4179,http://myneta.info/andhra2014/candidate.php?candidate_id=4179,True,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=4179,http://myneta.info/ap09/candidate.php?candidate_id=2639,121280928.0,72185138.0,2009.0,0.0,0.0,False,1.0,,,5000.0,1298959.0,1379459.0,1799080.0,,166595682.0,,5320544.0,11016600.0,15563000.0,,,18874100.0,Primary,Andhra
635,56.0,True,Graduate,M,[],87999847,311083884,Prathipati Pulla Rao,1.0,Y,TDP,0.0,399083731,215551115,225,Chilakaluripet,Guntur,andhra2014,2566,http://myneta.info/andhra2014/candidate.php?candidate_id=2566,True,255091747.0,143991984.0,Prathipati Pulla Rao,2566.0,2998.0,56.0,http://myneta.info/andhra2014/candidate.php?candidate_id=2566,http://myneta.info/ap09/candidate.php?candidate_id=2998,255091747.0,7313647.0,2009.0,1.0,1.0,True,1.0,,,279971117.78,4679629.0,77294.0,,,,25003302.6,1352541.0,9700000.0,15199847.92,50100000.0,,13000000.0,Grad,Andhra
665,59.0,False,Graduate,M,[],70084000,11893085,Kanna Lakshmi Narayana,0.0,Y,INC,0.0,81977085,9081979,223,Guntur West,Guntur,andhra2014,2612,http://myneta.info/andhra2014/candidate.php?candidate_id=2612,False,28045883.0,53931202.0,Kanna Lakshmi Narayana,2612.0,2964.0,192.0,http://myneta.info/andhra2014/candidate.php?candidate_id=2612,http://myneta.info/ap09/candidate.php?candidate_id=2964,28045883.0,3677143.0,2009.0,1.0,1.0,True,,,,,77701.0,2371886.0,5009000.0,1684498.0,,,2750000.0,3982000.0,,16525000.0,,49577000.0,Grad,Andhra
668,47.0,True,Graduate Professional,M,"[u'Attempt to murder(307)', u'Voluntarily causing hurt by dangerous weapons or means(324)', u'Being member of an unlawful assembly(143)', u' rioting(147)', u'Rioting, armed with deadly weapon(148)', u'Every member of unlawful assembly guilty of offence committed in prosecution of common object(149)', u'Obstructing public servant in discharge of public functions(186)', u' wrongful restraint(341)', u' criminal trespass(447)']",27720912,27579325,Modugula Venu Gopala Reddy,2.0,Y,TDP,2.0,55300237,240336,223,Guntur West,Guntur,andhra2014,2617,http://myneta.info/andhra2014/candidate.php?candidate_id=2617,True,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=2617,http://myneta.info/ls2009/candidate.php?candidate_id=4437,27493309.0,51964.0,2009.0,1.0,1.0,True,2.0,,,19008900.0,1382540.0,36384.0,9000.0,2575000.0,,,4567500.0,4970157.0,10422500.0,8319655.0,,4008600.0,Grad,Andhra
706,43.0,True,Post Graduate,M,"[u'Being member of an unlawful assembly(143)', u'Disobedience to order duly promulgated by public servant(188)']",20900000,7333482,Narendra Babu Ramisetti,1.0,Y,INC,0.0,28233482,920000,230,Macherla,Guntur,andhra2014,2662,http://myneta.info/andhra2014/candidate.php?candidate_id=2662,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=2662,http://myneta.info/ap09/candidate.php?candidate_id=3082,32601762.0,3615014.0,2009.0,0.0,0.0,False,1.0,,,,900000.0,44634.0,825000.0,138848.0,,,2575000.0,288000.0,,612000.0,,20000000.0,Post_Grad,Andhra
709,45.0,False,12th Pass,M,[],14950000,5480676,Rama Krishna Reddy Pinnelli,0.0,Y,Yuvajana Sramika Rythu Congress Party,0.0,20430676,3715354,230,Macherla,Guntur,andhra2014,2667,http://myneta.info/andhra2014/candidate.php?candidate_id=2667,True,3135000.0,17295676.0,Rama Krishna Reddy Pinnelli,2667.0,3066.0,552.0,http://myneta.info/andhra2014/candidate.php?candidate_id=2667,http://myneta.info/ap09/candidate.php?candidate_id=3066,3135000.0,478000.0,2009.0,1.0,2.0,True,,,,,257238.0,213438.0,,3600000.0,,,1410000.0,2450000.0,,850000.0,,11650000.0,HS,Andhra
747,49.0,False,Graduate,M,[],107365305,13552231,Kommalapati Sridhar,0.0,Y,TDP,0.0,120917536,8741338,214,Pedakurapadu,Guntur,andhra2014,2719,http://myneta.info/andhra2014/candidate.php?candidate_id=2719,True,19572676.0,101344860.0,Kommalapati Sridhar,2719.0,2837.0,518.0,http://myneta.info/andhra2014/candidate.php?candidate_id=2719,http://myneta.info/ap09/candidate.php?candidate_id=2837,19572676.0,5787040.0,2009.0,1.0,1.0,True,,,,1370000.0,115000.0,2239555.0,3480822.0,3608452.0,,,2738400.0,31524630.0,32689800.0,17972875.0,,25178000.0,Grad,Andhra
764,39.0,False,Graduate,M,[],19397000,5197865,Tella Venkateswara Rao,0.0,Y,INC,0.0,24594865,1359735,217,Ponnur,Guntur,andhra2014,2737,http://myneta.info/andhra2014/candidate.php?candidate_id=2737,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=2737,http://myneta.info/ap09/candidate.php?candidate_id=2879,8520000.0,0.0,2009.0,0.0,0.0,False,,,,,1100000.0,1303790.0,968000.0,1026075.0,,,800000.0,6168500.0,3215000.0,2276000.0,,7438000.0,Grad,Andhra
780,49.0,True,Graduate,M,"[u'Criminal breach of trust by public servant, or by banker, merchant or agent(409)', u'Cheating and dishonestly inducing delivery of property(420)', u'Punishment of criminal conspiracy(120B)']",20690000,16208740,Mopidevi Venkata Ramana Rao,1.0,Y,Yuvajana Sramika Rythu Congress Party,2.0,36898740,8531517,219,Repalle,Guntur,andhra2014,2759,http://myneta.info/andhra2014/candidate.php?candidate_id=2759,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=2759,http://myneta.info/ap09/candidate.php?candidate_id=2903,1720000.0,0.0,2009.0,1.0,1.0,True,,,1.0,,765000.0,,600000.0,800000.0,8531517.0,,480000.0,1190000.0,15000000.0,4500000.0,,,Grad,Andhra
800,57.0,False,Graduate Professional,M,[],15420000,4958605,Yarram Venkateswara Reddy,0.0,Y,INC,0.0,20378605,1392932,227,Sattenapalle,Guntur,andhra2014,2783,http://myneta.info/andhra2014/candidate.php?candidate_id=2783,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=2783,http://myneta.info/ap09/candidate.php?candidate_id=3027,8081735.0,1635695.0,2009.0,1.0,1.0,True,,,,,519750.0,15500.0,1648355.0,600000.0,,,2175000.0,9270000.0,,1200000.0,,4950000.0,Grad,Andhra
815,49.0,False,Post Graduate,M,[],38400000,68478117,Nadendla Manohar,0.0,Y,INC,0.0,106878117,0,220,Tenali,Guntur,andhra2014,2806,http://myneta.info/andhra2014/candidate.php?candidate_id=2806,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=2806,http://myneta.info/ap09/candidate.php?candidate_id=2921,15470172.0,0.0,2009.0,1.0,1.0,True,,,,,550000.0,30346579.0,1375000.0,2716000.0,,578538.0,1781000.0,8400000.0,,,,30000000.0,Post_Grad,Andhra
824,48.0,True,Graduate Professional,M,"[u'Acts done by several persons in furtherance of common intention(34)', u'Assault or criminal force to deter public servant from discharge of his duty(353)']",4900000,4370074,Nakka Ananda Babu,1.0,Y,TDP,0.0,9270074,1030600,218,Vemuru,Guntur,andhra2014,2818,http://myneta.info/andhra2014/candidate.php?candidate_id=2818,True,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=2818,http://myneta.info/ap09/candidate.php?candidate_id=2890,793691.0,840.0,2009.0,1.0,1.0,True,1.0,,,,50000.0,1769074.0,1150000.0,1115000.0,,,336000.0,,,,,4900000.0,Grad,Andhra
