,age,CrimCases,Educ,Gender,ipclist,immov_total,mov_total,Name,nr_cases,pan,party,serious_cases,total_assets,total_liab,cons_id,consistuency,district,election,cand_id,cand_link,win,assets_old1,increase,name2,new_id,old_id,pct_change,elec_link,elec_link_old,assets_old2,liab_old2,year_prev_elect,win_prev_elect,tot_wins,incumbent,Cogniz,Convict,Framed,bonds,cash,accounts,jewels,insurance,vehicles,postal,other_mov,agri,commercial,nonagri,others,resid,Educ_clean,state
6176,43.0,True,Post Graduate,M,"[u'Statements conducing to public mischief(505)', u' criminal intimidation(506)', u'Acts done by several persons in furtherance of common intention(34)', u' defamation(500)', u'Printing or engraving matter known to be defamatory(501)', u'Sale of printed or engraved substance containing defamatory matter(502)', u'Criminal intimidation(503)', u'Intentional insult with intent to provoke breach of the peace(504)']",500000,230000,Rajesh Kumar Tripathi,1.0,Y,IND,2.0,730000,0,34,Raigarh,Raigarh,chhattisgarh2013,858,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=858,False,,,,,,,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=858,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=929,220810.0,0.0,2008.0,0.0,0.0,False,,,1.0,,55000.0,40000.0,35000.0,100000.0,,,0.0,500000.0,,,,,Post_Grad,Chattisgarh
6190,41.0,True,Graduate,F,[u'Assault or criminal force to deter public servant from discharge of his duty(353)'],4720294,1015000,Ku Kamda Jolhe,1.0,Y,BSP,0.0,5735294,1098963,35,Sarangarh,Raigarh,chhattisgarh2013,402,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=402,False,,,,,,,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=402,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=243,1437500.0,500000.0,2008.0,0.0,0.0,False,,1.0,,,47500.0,50000.0,0.0,,,,550000.0,175581.0,2150000.0,2394713.0,,,Grad,Chattisgarh
6221,55.0,True,Post Graduate,M,[u' defamation(500)'],40398700,6985450,Devji Bhai Patel,1.0,Y,BJP,0.0,47384150,2149049,65,Dharsiwa,Raipur,chhattisgarh2013,448,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=448,True,5860680.0,41523470.0,Devji Bhai Patel,448.0,285.0,709.0,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=448,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=285,5860680.0,742778.0,2008.0,1.0,1.0,True,1.0,,,,1489681.0,1625493.0,1687937.0,1066338.0,,,1116000.0,4598700.0,6300000.0,,,29500000.0,Post_Grad,Chattisgarh
6229,55.0,True,10th Pass,M,"[u'Acts done by several persons in furtherance of common intention(34)', u' wrongful restraint(341)']",4550000,1899422,Kuldeep Singh Juneja,1.0,Y,INC,0.0,6449422,0,68,Raipur City North,Raipur,chhattisgarh2013,454,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=454,False,12435786.0,-5986364.0,Kuldeep Singh Juneja,454.0,273.0,-48.0,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=454,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=273,12435786.0,326706.0,2008.0,1.0,1.0,True,1.0,,,20000.0,290000.0,304858.0,,128774.0,125000.0,530000.0,500850.0,,,2750000.0,,1800000.0,Primary,Chattisgarh
6245,54.0,False,Post Graduate,M,[],18165000,12394000,Brijmohan Agrawal,0.0,Y,BJP,0.0,30559000,7285000,69,Raipur City South,Raipur,chhattisgarh2013,340,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=340,True,8163000.0,22396000.0,Brijmohan Agrawal,340.0,269.0,274.0,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=340,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=269,8163000.0,1851000.0,2008.0,1.0,1.0,True,,,,1205000.0,789000.0,669000.0,1481000.0,1700000.0,1667000.0,,2845000.0,13165000.0,,,,5000000.0,Post_Grad,Chattisgarh
6269,48.0,False,10th Pass,M,[],15600000,7225513,Praveen Jain,0.0,Y,IND,0.0,22825513,500000,69,Raipur City South,Raipur,chhattisgarh2013,1172,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1172,False,,,,,,,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1172,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=943,17153496.0,989788.0,2008.0,0.0,0.0,False,,,,,1806890.0,207796.0,1330506.0,678420.0,,,0.0,,7600000.0,,,8000000.0,Primary,Chattisgarh
6289,50.0,False,12th Pass,M,[],20625391,10459201,Rajesh Munat,0.0,Y,BJP,0.0,31084592,8022845,67,Raipur City West,Raipur,chhattisgarh2013,452,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=452,True,8264491.0,22820101.0,Rajesh Munat,452.0,277.0,276.0,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=452,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=277,8264491.0,1482856.0,2008.0,1.0,1.0,True,,,,1155603.0,206620.0,924026.0,9000.0,380720.0,6286525.0,,1496707.0,,,,,20625391.0,HS,Chattisgarh
6294,39.0,False,Not Given,M,[],586300,1293439,Bharat Khakhariya,0.0,Y,IND,0.0,1879739,0,66,Raipur Rural,Raipur,chhattisgarh2013,1134,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1134,False,,,,,,,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1134,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=284,308181.0,0.0,2008.0,0.0,0.0,False,,,,348585.0,374485.0,498550.0,51000.0,8819.0,,12000.0,,,,586300.0,,,Unknown,Chattisgarh
6297,47.0,False,Graduate,M,[],4650000,16119059,Mahesh Dewangan,0.0,Y,CSM,0.0,20769059,758717,66,Raipur Rural,Raipur,chhattisgarh2013,245,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=245,False,,,,,,,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=245,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=288,9161054.0,4242429.0,2008.0,0.0,0.0,False,,,,870000.0,430000.0,34066.0,874000.0,634514.0,757780.0,,650000.0,150000.0,,,,4500000.0,Grad,Chattisgarh
6300,43.0,False,Graduate,M,[],800000,102996,Rajendra Sahu,0.0,Y,LOKTANTRA CONGRESS PARTY,0.0,902996,18500,66,Raipur Rural,Raipur,chhattisgarh2013,1130,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1130,False,,,,,,,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1130,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=964,92100.0,0.0,2008.0,0.0,0.0,False,,,,,13000.0,2996.12,,,,,100000.0,,,800000.0,,,Grad,Chattisgarh
6304,70.0,True,12th Pass,M,"[u' rioting(147)', u' wrongful restraint(341)']",37679600,5620385,Satyanarayan Sharma,1.0,Y,INC,0.0,43299985,905940,66,Raipur Rural,Raipur,chhattisgarh2013,449,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=449,True,,,,,,,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=449,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=282,15553931.0,176936.0,2008.0,0.0,0.0,False,1.0,,,,187974.0,295651.0,,,1860102.0,,3159723.0,,,31662000.0,,6017600.0,HS,Chattisgarh
6360,61.0,False,Graduate Professional,M,[],33350000,22814496,Raman Singh,0.0,Y,BJP,0.0,56164496,3070031,2,Rajnandgaon,Rajnandgaon,chhattisgarh2013,66,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=66,True,10485628.0,45678868.0,Raman Singh,66.0,325.0,436.0,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=66,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=325,10485628.0,0.0,2008.0,1.0,1.0,True,,,,105150.0,373350.0,8369756.0,,201371.0,779370.0,44407.0,12575000.0,9800000.0,,,,23550000.0,Grad,Chattisgarh
6379,49.0,False,12th Pass,F,[],8173000,15956650,Rajni Tripathi,0.0,Y,BJP,0.0,24129650,3567553,23,Bhatgaon,Surajpur,chhattisgarh2013,502,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=502,False,17288378.0,6841272.0,Rajni Tripathi,502.0,364.0,40.0,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=502,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=364,17288378.0,0.0,2008.0,1.0,1.0,True,,,,,265500.0,12285140.0,865000.0,800000.0,1182000.0,,494000.0,5969000.0,,990000.0,,1214000.0,HS,Chattisgarh
6389,59.0,False,Graduate Professional,M,[],14260000,13286552,Premsai Singh Tekam,0.0,Y,INC,0.0,27546552,88625,24,Pratappur,Surajpur,chhattisgarh2013,798,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=798,False,15827238.0,11719314.0,Premsai Singh Tekam,798.0,337.0,74.0,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=798,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=337,15827238.0,150000.0,2008.0,1.0,1.0,True,,,,502000.0,200000.0,3664323.0,1875228.0,2379706.0,,1082095.0,3553200.0,4960000.0,,2300000.0,,7000000.0,Grad,Chattisgarh
6403,45.0,True,12th Pass,F,"[u'Obscene acts and songs(294)', u' voluntarily causing hurt(323)', u' wrongful restraint(341)', u' criminal trespass(447)']",11918558,3741849,Renuka Singh,1.0,Y,BJP,0.0,15660407,1855028,22,Premnagar,Surajpur,chhattisgarh2013,777,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=777,False,6851880.0,8808527.0,Renuka Singh,777.0,329.0,129.0,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=777,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=329,6851880.0,316213.0,2008.0,1.0,1.0,True,,,1.0,,260000.0,543595.0,2078254.0,,350000.0,200000.0,310000.0,5200710.0,615848.0,,,6102000.0,HS,Chattisgarh
6408,38.0,True,Graduate Professional,M,"[u' rioting(147)', u' wrongful restraint(341)']",1538150,7285991,Anurag Singh Dev,1.0,Y,BJP,0.0,8824141,1781888,28,Ambikapur,Surguja,chhattisgarh2013,523,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=523,False,,,,,,,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=523,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=354,3823585.0,0.0,2008.0,0.0,0.0,False,1.0,,,850000.0,388700.0,104094.0,904000.0,662343.0,3012854.0,,1285000.0,1538150.0,,,,,Grad,Chattisgarh
6429,45.0,False,12th Pass,M,[],23080000,6419891,Amarjeet Bhagat,0.0,Y,INC,0.0,29499891,2276158,29,Sitapur,Surguja,chhattisgarh2013,527,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=527,True,12572829.0,16927062.0,Amarjeet Bhagat,527.0,357.0,135.0,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=527,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=357,12572829.0,2947591.0,2008.0,1.0,1.0,True,,,,,1314400.0,434037.0,625000.0,385140.0,,,704714.0,4300000.0,1000000.0,8230000.0,,9550000.0,HS,Chattisgarh
6442,56.0,False,Graduate,M,[],12053215,25346291,Haroon Yusuf,0.0,Y,INC,0.0,37399506,1000000,4,Ballimaran,Central,delhi2015,202,http://myneta.info/delhi2015/candidate.php?candidate_id=202,False,10715369.0,26684137.0,Haroon Yusuf,202.0,29.0,249.0,http://myneta.info/delhi2015/candidate.php?candidate_id=202,http://myneta.info/dl2008/candidate.php?candidate_id=7,6261081.0,0.0,2008.0,1.0,2.0,False,,,,,151000.0,19790391.0,,600000.0,,,4804900.0,,,,,12053215.0,Grad,Delhi
6443,33.0,True,Graduate,M,"[u'Voluntarily causing hurt to deter public servant from his duty(332)', u' criminal intimidation(506)', u'Acts done by several persons in furtherance of common intention(34)', u'Obstructing public servant in discharge of public functions(186)', u' wrongful Confinement(342)', u'Assault or criminal force to deter public servant from discharge of his duty(353)']",4200000,3197824,Imran Hussain,1.0,Y,AAP,2.0,7397824,750000,4,Ballimaran,Central,delhi2015,99,http://myneta.info/delhi2015/candidate.php?candidate_id=99,True,,,,,,,http://myneta.info/delhi2015/candidate.php?candidate_id=99,http://myneta.info/mcd2012/candidate.php?candidate_id=1415,5954180.0,1309760.0,2012.0,1.0,1.0,False,1.0,,,100000.0,100000.0,66044.0,1225000.0,,406030.0,,1300750.0,,,,,4200000.0,Grad,Delhi
6457,34.0,False,8th Pass,M,[],17000000,1652000,Mohd. Rehan,0.0,Y,BSP,0.0,18652000,0,2,Chandni Chowk,Central,delhi2015,421,http://myneta.info/delhi2015/candidate.php?candidate_id=421,False,,,,,,,http://myneta.info/delhi2015/candidate.php?candidate_id=421,http://myneta.info/mcd2012/candidate.php?candidate_id=1417,2008805.0,0.0,2012.0,0.0,0.0,False,,,,,100000.0,,52000.0,,,,1500000.0,,9000000.0,,,0.0,Primary,Delhi
