,HHinc,HHDeclarations,self_declare,self_inc
candidate.php?candidate_id=1128,0.0,1,Y,0.0
candidate.php?candidate_id=1129,536590.0,1,Y,536590.0
candidate.php?candidate_id=113,578410.0,2,Y,300000.0
candidate.php?candidate_id=1130,0.0,1,Y,0.0
candidate.php?candidate_id=1132,,0,,
candidate.php?candidate_id=1135,0.0,1,Y,0.0
candidate.php?candidate_id=1136,0.0,1,Y,0.0
candidate.php?candidate_id=1137,,0,,
candidate.php?candidate_id=1138,0.0,1,Y,0.0
candidate.php?candidate_id=1139,700000.0,2,Y,0.0
candidate.php?candidate_id=114,2557550.0,2,Y,1003520.0
candidate.php?candidate_id=1140,179140.0,2,Y,179140.0
candidate.php?candidate_id=1141,281831.0,2,Y,281831.0
candidate.php?candidate_id=1142,4433765.0,2,Y,832492.0
candidate.php?candidate_id=1143,1080144.0,2,Y,606121.0
candidate.php?candidate_id=1144,,0,,
candidate.php?candidate_id=1145,455918.0,1,Y,455918.0
candidate.php?candidate_id=1146,23000.0,1,Y,23000.0
candidate.php?candidate_id=1147,155000.0,2,Y,155000.0
candidate.php?candidate_id=1148,,0,,
candidate.php?candidate_id=115,2318680.0,2,Y,358680.0
candidate.php?candidate_id=1150,289071.0,1,Y,289071.0
candidate.php?candidate_id=1151,,0,,
candidate.php?candidate_id=1152,,0,,
candidate.php?candidate_id=1153,203850.0,1,Y,203850.0
candidate.php?candidate_id=1154,253800.0,2,Y,253800.0
candidate.php?candidate_id=1155,0.0,2,Y,0.0
candidate.php?candidate_id=1156,0.0,1,Y,0.0
candidate.php?candidate_id=1157,0.0,1,Y,0.0
candidate.php?candidate_id=1158,,0,,
candidate.php?candidate_id=1159,0.0,1,Y,0.0
candidate.php?candidate_id=116,0.0,1,Y,0.0
candidate.php?candidate_id=1160,408712.0,1,Y,408712.0
candidate.php?candidate_id=1162,0.0,2,Y,0.0
candidate.php?candidate_id=1163,0.0,1,Y,0.0
candidate.php?candidate_id=1164,3000.0,1,Y,3000.0
candidate.php?candidate_id=1165,0.0,0,N,0.0
candidate.php?candidate_id=1166,102570293.0,2,Y,102439046.0
candidate.php?candidate_id=1167,0.0,2,Y,0.0
candidate.php?candidate_id=117,0.0,1,Y,0.0
candidate.php?candidate_id=1170,,0,,
candidate.php?candidate_id=1171,0.0,1,Y,0.0
candidate.php?candidate_id=1172,0.0,1,Y,0.0
candidate.php?candidate_id=1173,760800.0,2,Y,522800.0
candidate.php?candidate_id=1174,280191.0,1,Y,280191.0
candidate.php?candidate_id=1175,,0,,
candidate.php?candidate_id=1176,,0,,
candidate.php?candidate_id=1177,,0,,
candidate.php?candidate_id=1178,0.0,1,Y,0.0
candidate.php?candidate_id=1179,0.0,2,Y,0.0
candidate.php?candidate_id=118,1255514.0,2,Y,839204.0
candidate.php?candidate_id=1180,1285414.0,3,Y,1285414.0
candidate.php?candidate_id=1181,11209890.0,4,Y,7023340.0
candidate.php?candidate_id=1184,198603.0,1,Y,198603.0
candidate.php?candidate_id=1185,704197.0,2,Y,414701.0
candidate.php?candidate_id=1186,265100.0,2,Y,265100.0
candidate.php?candidate_id=1187,0.0,1,Y,0.0
candidate.php?candidate_id=1188,0.0,1,Y,0.0
candidate.php?candidate_id=1189,0.0,1,Y,0.0
candidate.php?candidate_id=119,0.0,2,Y,0.0
candidate.php?candidate_id=1190,14991979.0,2,Y,3949439.0
candidate.php?candidate_id=1192,193500.0,1,Y,193500.0
candidate.php?candidate_id=1194,345000.0,1,Y,345000.0
candidate.php?candidate_id=1195,24537720.0,4,Y,24537720.0
candidate.php?candidate_id=1196,,0,,
candidate.php?candidate_id=1198,120000.0,1,Y,120000.0
candidate.php?candidate_id=1199,537040.0,3,Y,315640.0
candidate.php?candidate_id=12,,0,,
candidate.php?candidate_id=120,515730.0,1,Y,515730.0
candidate.php?candidate_id=1201,1589737.0,2,Y,1012070.0
candidate.php?candidate_id=1202,208755.0,1,Y,208755.0
candidate.php?candidate_id=1203,0.0,1,Y,0.0
candidate.php?candidate_id=1205,1024800.0,2,Y,271000.0
candidate.php?candidate_id=1206,677789.0,2,Y,677789.0
candidate.php?candidate_id=1207,,0,,
candidate.php?candidate_id=1208,0.0,1,Y,0.0
candidate.php?candidate_id=121,1771500.0,2,Y,905650.0
candidate.php?candidate_id=1210,,0,,
candidate.php?candidate_id=1211,,0,,
candidate.php?candidate_id=1212,447279.0,2,Y,241334.0
candidate.php?candidate_id=1213,0.0,1,Y,0.0
candidate.php?candidate_id=1214,1505435.0,1,Y,1505435.0
candidate.php?candidate_id=1215,718500.0,2,Y,318500.0
candidate.php?candidate_id=1216,762380.0,1,Y,762380.0
candidate.php?candidate_id=1217,177840.0,3,Y,177840.0
candidate.php?candidate_id=1218,1251375.0,2,Y,1251375.0
candidate.php?candidate_id=1219,1790133.0,2,Y,1790133.0
candidate.php?candidate_id=122,1217796.0,2,Y,414416.0
candidate.php?candidate_id=1220,3088566.0,3,Y,1279552.0
candidate.php?candidate_id=1221,1027050.0,2,Y,390760.0
candidate.php?candidate_id=1222,793870.0,1,Y,793870.0
candidate.php?candidate_id=1223,6674450.0,1,Y,6674450.0
candidate.php?candidate_id=1224,3438660.0,2,Y,1953600.0
candidate.php?candidate_id=1225,3342714.0,2,Y,1990713.0
candidate.php?candidate_id=1226,2145845.0,4,Y,247015.0
candidate.php?candidate_id=1227,1202836.0,3,Y,245588.0
candidate.php?candidate_id=1228,561375.0,2,Y,251320.0
candidate.php?candidate_id=1229,,0,,
candidate.php?candidate_id=123,550159.0,2,Y,190000.0
candidate.php?candidate_id=1230,835820.0,3,Y,585970.0
candidate.php?candidate_id=1231,,0,,
candidate.php?candidate_id=1232,1042661.0,2,Y,524701.0
candidate.php?candidate_id=1234,608209.0,1,Y,608209.0
candidate.php?candidate_id=1235,1623970.0,2,Y,947100.0
candidate.php?candidate_id=1236,1656819.0,3,Y,216509.0
candidate.php?candidate_id=1237,979545.0,2,Y,578400.0
candidate.php?candidate_id=1238,,0,,
candidate.php?candidate_id=1239,,0,,
candidate.php?candidate_id=124,,0,,
candidate.php?candidate_id=1240,0.0,1,Y,0.0
candidate.php?candidate_id=1241,0.0,1,Y,0.0
candidate.php?candidate_id=1242,0.0,1,Y,0.0
candidate.php?candidate_id=1243,,0,,
candidate.php?candidate_id=1245,0.0,1,Y,0.0
candidate.php?candidate_id=1246,402950.0,2,Y,254400.0
candidate.php?candidate_id=1247,756000.0,1,Y,756000.0
candidate.php?candidate_id=1248,276000.0,1,Y,276000.0
candidate.php?candidate_id=1249,,0,,
candidate.php?candidate_id=125,466740.0,1,Y,466740.0
candidate.php?candidate_id=1251,0.0,1,Y,0.0
candidate.php?candidate_id=1252,200000.0,1,Y,200000.0
candidate.php?candidate_id=1253,,0,,
candidate.php?candidate_id=1254,,0,,
candidate.php?candidate_id=1255,620850.0,1,Y,620850.0
candidate.php?candidate_id=1256,,0,,
candidate.php?candidate_id=1258,,0,,
candidate.php?candidate_id=1259,,0,,
candidate.php?candidate_id=126,7402894.0,2,Y,2315190.0
candidate.php?candidate_id=1260,500000.0,1,Y,500000.0
candidate.php?candidate_id=1261,704021.0,2,Y,494021.0
candidate.php?candidate_id=1262,0.0,1,Y,0.0
candidate.php?candidate_id=1263,,0,,
candidate.php?candidate_id=1264,510502.0,1,Y,510502.0
candidate.php?candidate_id=1266,,0,,
candidate.php?candidate_id=1267,1910030.0,2,Y,618580.0
candidate.php?candidate_id=1268,8123477.0,2,Y,7975721.0
candidate.php?candidate_id=1269,197530.0,1,Y,197530.0
candidate.php?candidate_id=127,,0,,
candidate.php?candidate_id=1270,158000.0,1,Y,158000.0
candidate.php?candidate_id=1271,0.0,1,Y,0.0
candidate.php?candidate_id=1272,2476590.0,2,Y,1883040.0
candidate.php?candidate_id=1273,,0,,
candidate.php?candidate_id=1274,545552.0,2,Y,545552.0
candidate.php?candidate_id=1275,97174.0,1,Y,97174.0
candidate.php?candidate_id=1276,,0,,
candidate.php?candidate_id=1277,0.0,1,Y,0.0
candidate.php?candidate_id=1278,10268530.0,2,Y,10082170.0
candidate.php?candidate_id=1279,470610.0,2,Y,0.0
candidate.php?candidate_id=128,,0,,
candidate.php?candidate_id=1280,0.0,1,Y,0.0
candidate.php?candidate_id=1281,0.0,1,Y,0.0
candidate.php?candidate_id=1282,674500.0,2,Y,424500.0
candidate.php?candidate_id=1283,624132.0,1,Y,624132.0
candidate.php?candidate_id=1284,,0,,
candidate.php?candidate_id=1285,550000.0,2,Y,300000.0
candidate.php?candidate_id=1286,0.0,1,Y,0.0
candidate.php?candidate_id=1288,0.0,1,Y,0.0
candidate.php?candidate_id=1289,209500.0,1,Y,209500.0
candidate.php?candidate_id=129,1683370.0,3,Y,1200000.0
candidate.php?candidate_id=1291,0.0,1,Y,0.0
candidate.php?candidate_id=1292,0.0,2,Y,0.0
candidate.php?candidate_id=1293,1404243.0,2,Y,202762.0
candidate.php?candidate_id=1294,524500.0,1,Y,524500.0
candidate.php?candidate_id=1295,0.0,1,Y,0.0
candidate.php?candidate_id=1296,175000.0,1,Y,175000.0
candidate.php?candidate_id=1297,200170.0,1,Y,200170.0
candidate.php?candidate_id=1298,,0,,
candidate.php?candidate_id=1299,985277.0,2,Y,601835.0
candidate.php?candidate_id=13,1413559.0,2,Y,830310.0
candidate.php?candidate_id=1300,412268.0,2,Y,0.0
candidate.php?candidate_id=1301,178770.0,1,Y,178770.0
candidate.php?candidate_id=1302,657090.0,3,Y,433090.0
candidate.php?candidate_id=1303,566934.0,1,Y,566934.0
candidate.php?candidate_id=1304,0.0,1,Y,0.0
candidate.php?candidate_id=1305,,0,,
candidate.php?candidate_id=1306,0.0,1,Y,0.0
candidate.php?candidate_id=1307,155000.0,1,Y,155000.0
candidate.php?candidate_id=1308,169200.0,1,Y,169200.0
candidate.php?candidate_id=1309,0.0,1,Y,0.0
candidate.php?candidate_id=131,,0,,
candidate.php?candidate_id=1310,,0,,
candidate.php?candidate_id=1311,350000.0,1,Y,350000.0
candidate.php?candidate_id=1312,0.0,0,N,0.0
candidate.php?candidate_id=1314,0.0,1,Y,0.0
candidate.php?candidate_id=1315,0.0,1,Y,0.0
candidate.php?candidate_id=1316,0.0,2,Y,0.0
candidate.php?candidate_id=1317,,0,,
candidate.php?candidate_id=1318,,0,,
candidate.php?candidate_id=1319,948760.0,3,Y,948760.0
candidate.php?candidate_id=132,0.0,1,Y,0.0
candidate.php?candidate_id=1321,1801791.0,1,Y,1801791.0
candidate.php?candidate_id=1322,722304.0,4,Y,188964.0
candidate.php?candidate_id=1323,0.0,1,Y,0.0
candidate.php?candidate_id=1324,256160.0,1,Y,256160.0
candidate.php?candidate_id=1325,218230.0,5,Y,218230.0
candidate.php?candidate_id=1326,1004653.0,2,Y,611020.0
candidate.php?candidate_id=1327,0.0,2,Y,0.0
candidate.php?candidate_id=1328,214867.0,2,Y,95627.0
candidate.php?candidate_id=1329,553128.0,2,Y,348000.0
candidate.php?candidate_id=1330,180500.0,3,Y,180500.0
candidate.php?candidate_id=1331,650000.0,1,,0.0
candidate.php?candidate_id=1332,230400.0,2,Y,230400.0
candidate.php?candidate_id=1333,22752.0,2,Y,0.0
candidate.php?candidate_id=1335,0.0,1,Y,0.0
candidate.php?candidate_id=1336,236189.0,1,Y,236189.0
candidate.php?candidate_id=1337,7683770.0,1,Y,7683770.0
candidate.php?candidate_id=1338,326201.0,1,Y,326201.0
candidate.php?candidate_id=134,2302598.0,3,Y,1320000.0
candidate.php?candidate_id=1340,683040.0,3,Y,683040.0
candidate.php?candidate_id=1342,0.0,1,Y,0.0
candidate.php?candidate_id=1343,,0,,
candidate.php?candidate_id=1344,0.0,1,Y,0.0
candidate.php?candidate_id=1345,286412.0,2,Y,0.0
candidate.php?candidate_id=1346,371760.0,2,Y,345330.0
candidate.php?candidate_id=1347,0.0,1,Y,0.0
candidate.php?candidate_id=1348,0.0,1,Y,0.0
candidate.php?candidate_id=1349,0.0,1,Y,0.0
candidate.php?candidate_id=135,600000.0,1,Y,600000.0
candidate.php?candidate_id=1350,251550.0,1,Y,251550.0
candidate.php?candidate_id=1351,412850.0,2,Y,412850.0
candidate.php?candidate_id=1352,0.0,2,Y,0.0
candidate.php?candidate_id=1353,239000.0,1,Y,239000.0
candidate.php?candidate_id=1354,3163518.0,2,Y,1592047.0
candidate.php?candidate_id=1355,374912.0,2,Y,374912.0
