,Age,Constituency,Criminal_Cases,Education_Level,Name,Number_of_Cases,PAN_Given_(Y_or_N),Party_Code,Total_Assets,Total_Liabilities,common_link,elec_link
4941,67,CHHINDWARA,No,Graduate,Kamal Nath in Loksabha 2014,0,Y,INC,2069080434,51172087,http://myneta.info/compare_profile.php?group_id=GL6KHp6juviRbFsUTqa3,http://myneta.info/ls2014/candidate.php?candidate_id=766
4942,0,MINISTER,No,Not Given,Shri Kamal Nath in Union Council of Ministers  2011,0,N,INC,410051376,62125035,http://myneta.info/compare_profile.php?group_id=GL6KHp6juviRbFsUTqa3,http://myneta.info/unionministers2011/candidate.php?candidate_id=14
4943,57,Chhindwara,No,Graduate,KAMALNATH in Lok Sabha 2004,0,Y,INC,51839379,0,http://myneta.info/compare_profile.php?group_id=GL6KHp6juviRbFsUTqa3,http://myneta.info/loksabha2004/candidate.php?candidate_id=2037
4944,77,Hisar,No,12th Pass,BHAJAN LAL in Lok Sabha 2009,0,Y,HJCBL,65113381,7354075,http://myneta.info/compare_profile.php?group_id=g3madHv3mmhBnE5VSHig,http://myneta.info/ls2009/candidate.php?candidate_id=6543
4945,72,Adampur,No,12th Pass,BHAJAN LAL in Haryana 2005,0,Y,INC,74982881,484407,http://myneta.info/compare_profile.php?group_id=g3madHv3mmhBnE5VSHig,http://myneta.info/hr2005/candidate.php?candidate_id=704
4953,47,PATIALA,Yes,Illiterate,Amrik Singh in Loksabha 2014,1,Y,New All India Congress Party,607780,0,http://myneta.info/compare_profile.php?group_id=CsPBxrrTLLfiiubZ8Nou,http://myneta.info/ls2014/candidate.php?candidate_id=7850
4954,47,PATIALA : BYE- ELECTION ON 21-08-2014,Yes,Illiterate,Amrik Singh in Punjab Bye Election 2013,1,Y,NAICP,616230,0,http://myneta.info/compare_profile.php?group_id=CsPBxrrTLLfiiubZ8Nou,http://myneta.info/punjab2013bye/candidate.php?candidate_id=20
4961,33,KAUSHAMBI,No,Graduate,Rajendra Sonker in Loksabha 2014,0,Y,Lok Dal,315000,70000,http://myneta.info/compare_profile.php?group_id=vBYLB8LfvBpR5AWb6N,http://myneta.info/ls2014/candidate.php?candidate_id=8727
4962,32,SIRATHU,No,Graduate,Rajendra Sonkar  in Uttar Pradesh 2012,0,Y,LD,1213000,0,http://myneta.info/compare_profile.php?group_id=vBYLB8LfvBpR5AWb6N,http://myneta.info/up2012/candidate.php?candidate_id=5735
4963,34,VARANASI,No,Post Graduate,Hemant Kumar Yadav in Loksabha 2014,0,Y,Indian National League,38599,0,http://myneta.info/compare_profile.php?group_id=MsHoW76XdkKmrEujNw,http://myneta.info/ls2014/candidate.php?candidate_id=9828
4964,34,ROHANIYA : BYE- ELECTION ON 13-09-2014,No,Post Graduate,Hemant Kumar Yadav in UP Bye Election 2013,0,Y,Socialist Party (India),39098,0,http://myneta.info/compare_profile.php?group_id=MsHoW76XdkKmrEujNw,http://myneta.info/upbye13/candidate.php?candidate_id=160
4967,35,BILASPUR,No,Post Graduate,Er. Ramfal Mandrey in Loksabha 2014,0,Y,Ambedkarite Party of India,301500,0,http://myneta.info/compare_profile.php?group_id=ZKzE7pjvJEF36aZHRnVw,http://myneta.info/ls2014/candidate.php?candidate_id=4504
4968,34,BILASPUR,No,Post Graduate,Ramfal Mandre in Chhattisgarh 2013,0,Y,Prabuddha Republican Party,215000,0,http://myneta.info/compare_profile.php?group_id=ZKzE7pjvJEF36aZHRnVw,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=602
4969,34,MASTURI,No,Post Graduate,Ramfal Mandre in Chhattisgarh 2013,0,Y,Prabuddha Republican Party,215000,0,http://myneta.info/compare_profile.php?group_id=ZKzE7pjvJEF36aZHRnVw,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=613
4970,54,BITHARI CHAINPUR,No,Doctorate,Allauddin Khan in Uttar Pradesh 2012,0,Y,INC,4840000,441445,http://myneta.info/compare_profile.php?group_id=qq6AasXKY4bdeu2ZU9Rs,http://myneta.info/up2012/candidate.php?candidate_id=2100
