liab_accom,liab_banks/fis,liab_elec,liab_other,liab_tax_income,liab_tax_prop,liab_tax_sales,liab_tax_wealth,liab_tel,liab_total,liab_transp,liab_water,url
,486000.0,,,,,,,,486000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=976
,500000.0,,,,,,,16000.0,516000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=3278
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=3279
,,,224000.0,,,,,,2416095.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=3033
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=3270
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=3276
,25000.0,,,,,,,,25000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=3277
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=203
,300000.0,,,,,,,,300000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=202
8000.0,80000.0,,,,,,,,88000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=201
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=200
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=207
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=206
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=205
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=204
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1066
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=209
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=208
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1269
,,,,,,,,,750905.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1268
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1265
,,,,,,,,,839000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1264
,327000.0,,,,,,,,327000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1267
,,30000.0,,,,,,,30000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1266
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2273
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2272
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2271
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2270
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2479
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2478
,,,,0.0,,,,,0.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2475
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2474
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2477
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2670
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2471
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2470
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2473
,25000000.0,,,,,,,,25000000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2472
328192.0,,,,,,,,,328192.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=379
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=378
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=377
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=376
