,IPC_sections,Other,serial_no,type,url,year_election
0,"[143, 188, 34]"," India Penal Code Case No GR-969/2004 ,Date 29.08.2005 The court of Prabhakar singh ,Judicial Magistrate ,Ranchi  ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1245,2009
1,"[147, 148, 149, 307, 425]"," 3rd ADJ,Sonbhadra,No-144/08,Date 12/07/2008 ", 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=9488,2014
2,[r/w 420]," 27,33A,35  ", 1,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2407,2004
3,"[120B, 420, 114, 461, 468, 471]",  , 2,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2407,2004
4,"[420, 120B, 114, 461, 468, 471]",  , 3,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2407,2004
5,"[u/s 500, 34]",  , 4,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2407,2004
6,"[323, 341]"," Case No. 950C/05, Sri P.K.Sinha ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5055,2009
7,[]," 154 Cr.pc, Chief Judicical Magistrate Court Kozhikkode CC No .45/2012 10.01.2012 ,Kasaba Police station, Kozhikkode, Kerala -257/2011 ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=264,2014
8,"[143, 147, 283, 149]"," JFCM IV Kozhikode ,CC 1217/2013(Nadakkavu Cr.390/13)30-08-2013, Alleged that they conducted Procesion and meeting on the public road by causing obstruction to the public and vechicles within the limits of Nadakkavu Police station ", 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=265,2014
9,"[143, 147, 149, 435, 288]"," Sec.4(1)r/w 6 of Kerala Public Ways Act, Sec.39 r/w 12 of K.P.Act, JFCM IV Vanchiyoor,CC844/2013(Cantoment PS Cr.905/12)11-04-2013 Alleged tha in the banner of AIKS Accused No 1 to 6 and other identifiable 44 persons formed un law full assembly at public road which lead fron Palayam side,Vachiyoor Village,Thambannor Ward to pulimood side and Obstructed the public and vechicles and shouted slogans and burnt coconut valued for rupees 500/- with petrol ", 2,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=265,2014
10,[]," ADDITIONAL CHIEF METO. COURT, DISA COURT. CRIMINAL CASE NO.:-411/2009. CASE IS PENDING. SECTION 66(1)B, 85(2)(3)UNDER BOMBAY PROHIBITION ACT 
 ", 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=7294,2014
11,"[448, 427, 506, 34, 147, 323, 452, 385, 149]"," 7(1) Of Criminal Law Amendment Act 1932 ,C.C No. 510 Of 2009 On The File Of Honorable JFCM Court Shadnagar In Crime No. 307/2009 Of P.S Shadnagar, Mahabubnagar District AP, Unlawful Assembly Mischief Causing Damage Uespass, Putring A Person In Fear Of Injury, JFCM shadnagar ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=7927,2014
12,"[448, 427, 506, 34]"," C.C No. 509 Of 2009 On The File Of Honorable JFCM Court Shadnagar In Crime No. 309/2009 Of PB Shadnagar Mahabubnagar District, Criminal Freepass, Mischief Causing Damage, Criminal Intimidation With Common Ittention, JFCM Shadnagar ", 2,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=7927,2014
13,"[188, 143, 341, 34]", JFCM Mahabubnagar C.C No. 180/2014 On 03.03.2014 , 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=7927,2014
14,"[188, 143, 341, 34]", JFCM Mahabubnagar C.C No. 152/2014 On 17.02.2014 , 2,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=7927,2014
15,[]," 127 of Representation Of People Act, JFCM Excise Court Mahabubnagar C.C No. 919/2012 On 10.05.2012 ", 3,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=7927,2014
16,"[188, 341]", JFCM Mahabubnagar C.C No. 204/2014 On 15.03.2014 , 4,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=7927,2014
17,"[143, 448, 149]"," Sec 3 Of PDPPA Act , C.C No. 118 Of 2013 On The File Of Honorable Special Mobile Court Mahabubnagar In Crime No. 335/2012, II Town Police Station, Mahabubnagar,Unlawful Assembly And Thus To Cause Damage To Public Property, Special Court, Mahabubnagar,Charges not framed	 ", 5,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=7927,2014
18,"[323, 504]"," Case No.228/98, P.S.Gola, Dist.Gorakhpur, State Uttar Pradesh, Court A.C.J.M.Gorakhpur, Cognizance Date-4/12/04 ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1904,2009
19,"[302, 120B, 34]"," 3 BIHAR PREVENTION ACT, 1995, KAHALGAON P.S. CASE NO.92/14, BHAGALPUR, BIHAR, ANVAR SHAMIM JUDICIAL MAGISTRATE, BHAGALPUR, GR.765/14 ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=4474,2014
20,[]," 27 ARMS ACT, PATLIPUTRA (PATNA) CASE NO.19/08 PATLIPUTRA (PATNA) BIHAR, C.J.M., PATLIPUTRA GR.544/08, DT.2.2.2008, ADHARK A.D.J. FIRST PATLIPUTRA, BIHAR ", 2,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=4474,2014
21,"[307, 341, 323, 504, 34]"," Sec. 27 Arms Act, A.C.J.M. Patana City, GRN-1619/04, Sultanganj, Thana  no. -381/04 Cognizance Date 12.07.2005 ", 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=4475,2014
22,"[341, 323, 379, 504]", Varamod Tana No 61/03 , 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=4477,2014
23,"[147, 148, 302]", Aavadpur Tana No 39/81 , 2,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=4477,2014
24,"[171F, 188]", Varamod Tana No 135/10 , 3,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=4477,2014
25,"[307, 323, 374]", Aavadpur Tana No 30/92 , 4,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=4477,2014
26,"[120, 353, 216A]", Varamod Tana No 18/05 , 5,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=4477,2014
27,"[147, 323, 307]", Aavadpur Tana No 23/09 , 6,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=4477,2014
28,"[147, 307]", Varamod Tana No 85/04 , 7,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=4477,2014
29,"[147, 148, 302]", S.T. 136/95 , 8,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=4477,2014
30,"[141, 148, 302]", S.T. 607/07 , 9,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=4477,2014
31,[147], S.T. 417/10 , 10,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=4477,2014
32,"[353, 323]", GR No 64/10 , 11,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=4477,2014
33,"[188, 171(H)]"," Bhawnipur Thana, No. 365/10 Date. 02.11.11 ", 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=4470,2014
34,"[324, 325]"," FIR No. 119/2010, G.R. No. Chopra Gramin Police Station ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=5616,2014
35,[]," Case No. 179/94, 13/6 The Rajasthan Public Examination (Prevention of Unfairmeans) Act, 1992,Additional Chief Judicial Magistrate,No.1,Udaipur,Cognizance Date 4/4/2001, S.B. Criminal Revision Petition No. 254/2001 Rajasthan High Court Jodhpur ", 1,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=3276,2004
36,[]," 37(3)135 Bombay Police Act, Madhyavarti Police Station G.R.No. 136/2009, Court Case No. 4456/10 ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=5879,2014
37,[]," 37(3)135 Bombay Police Act., Kapurbawadi Police Station, G.R.No. 3033/2009 ", 2,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=5879,2014
38,"[143, 147, 148, 427, 506]"," 37(1)135 Bombay Police Act., Manpada Police Station, G.R.No. 374/09 ", 3,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=5879,2014
39,[]," 37(3)135 Bombay Police Act., Bajarpeth Police Station, G.R.No. 51/08 ", 4,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=5879,2014
40,"[341, 143, 145, 149]","  37(1) (3), 135 of Bombay Police Act, Metropolitan Magistratc, 66th court, Andheri (E), Mumbai case no. 66024487/ TS2013, FRI no. 438/2013, date. 14/10/12 ", 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=5876,2014
41,"[420, 406]"," JMFC Kalyan, 2000/37  ", 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=5875,2014
42,[]," CR No. 11-148/11, N.D.P.S. Act 8 (C) 20, 22, Cognizance Date 23/12/2011, NDPS Court, Thane ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=5871,2014
43,[365]," Case No. 835/90, Police Station-Tukoganj,Indore,M.P.,Judicial Magistrate,1st Class,Indore,dated 25/07/1992 ", 1,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2271,2004
44,[325]," Was acquitted by Madhya Pradesh High Court (Indore Bench) of IPC 302, 149 but undergone IPC 325. Case No.305/1980. Date-19.07.1981 ", 1,Convict,http://myneta.info/loksabha2004/candidate.php?candidate_id=2271,2004
45,"[143, 447, 500, 188, 283, 114]"," Malviya nagar, Pratap nagar, fir no.104/97	 ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=6529,2014
46,"[500, 504, 506(2)]"," Malviya nagar, Pratap nagar, fir no.143/13 ", 2,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=6529,2014
47,"[143, 147, 323, 114, 135]"," KUTIYANA POLICE STATION, FIR NO:83/02, JUDI MAGI F.COURT CASE NO 66/03, DATE 05/03/2003 ", 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=6524,2014
48,"[143, 341]", Conflict 353/7 by the Committee , 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=5619,2014
49,[353], X Metropolitan Magistrate Cybrabad At Malkaganjigiri C.C.NO.975/2010 24.08.2008 The Hon'ble High Court A.P. Pleased To Grant stay Vide its order Dated 24.03.2014 PASSED In Crlp.no.2979/2014 , 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=7844,2014
50,[188]," XVI Metropolition Magistrate Kukatpally AtMiyapur STC NO.28/2011 ,18.04.2009 The Hon'ble High Court A.P. Pleased To Grant stay Vide its order Dated 21.03.2014passed in crlp.no.3119/2014 ", 2,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=7844,2014
51,"[332, 333, 504, 506]"," Court Crimnal Case No-365,Year:2011 Thana Lisadi Gate Merut UP.
Special Chief Judicial Megistrate Merut Case No-205,Year: 2013,Date:03.04.2011,
Criminal surveillance No.-4672,Year:2011 ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=3123,2014
52,"[353, 332, 504, 506]"," Court Crimnal Case No.-67,Year: 2012 Thana Dehli Gate Merut UP
Special Chief Judicial Megistrate(First) Merut Case No-205,Year:2013,Date:03.04.2012 ", 2,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=3123,2014
53,"[143, 147, 148, 149, 452, 427, 504, 506]"," RCC NO.45/2000 FIR(CR NO.)294/99, (1)	So far as Silvassa Police Station FIR(CR No.) 294/99 is concerned , it is alleged  by the complainant Shri Chetanbhai Gajanand Jadav, resident of Village Kharadpada , School Falia vide complaint dated 31/12/99 that the offence The Police has filled the charge sheet in the court of the Chief Judicial Magistrate of Silvassa and it is registered as Regular Criminal Case no. 45/2000.Charge is not framed in the matter. ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5741,2009
54,"[143, 147, 452, 427, 506, 34]"," (2)	So far as Silvassa Police Station FIR(CR No.) 170/07 is concerned , it is alleged by the complainant Shri Ganesh Siramni Nadar, resident of Village Dokmardi, vide complaint dated 24/06/2007 The Police has filled the charge sheet in the court of the Chief Judicial Magistrate of Silvassa and it is registered as Regular Criminal Case No. 06/2008. Charge is framed in the matter on 16/06/2008. ", 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5741,2009
55,"[143, 147, 148, 323, 427, 504, 506(2)]"," (3)	So far as Vapi Police Station FIR(CR No.) 1-51/07 is concerned , it is alleged by the complainant Smt. Niruben Kantibhai Patel, Resident of Village Chala, main Road. Vapi, vide complaint dated 11/03/2007 The Police has not filled the Charge Sheet in the court. ", 3,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5741,2009
56,[]," 138 Of Negotiable Instrument Act (NIA)1881, Case No.SCC97/03, Court The Chief Judicial Magistrate,Daman, Cognizance Date-27/10/2003 ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5745,2009
57,[]," 138 Of Negotiable Instrument Act (NIA)1881, Case No.SCC108/03, Court The Chief Judicial Magistrate,Daman, Cognizance Date-27/10/2003 ", 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5745,2009
58,[]," FIR NO. 138/2013 Negotiable Instrument Act, Chief Judicial Magistrate Seoni ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=1583,2014
59,"[452, 143, 147, 148, 149, 323, 506, 379, 427]"," CR 36/07, Khanvel Police Station ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5744,2009
60,"[143, 149, 342, 504, 506(2), 186]"," CR 38/05, Khanvel Police Station ", 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5744,2009
61,"[147, 148, 188, 332, 307, 149]"," 25 and 27 I.A.Act, Section 3 & 4 of PPDA Act, Case No.426/2000, Dated 28.08.2000, Police Station-Saidabad,District-Hyderabad,State-A.P. ", 1,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=157,2004
62,"[341, 323, 307, 324, 379, 34]"," 27 ARMS ACT, Case No.373/04, P.S.Khagaria, Dist.Khagaria, State Bihar, Court C.J.M.,Khagaria, Cognizance Date-24/11/2005 ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5002,2009
63,"[427, 386, 379, 504]"," Case No.546/05, P.S.Khagaria, Dist.Khagaria, State Bihar, Court C.J.M.,Khagaria, Cognizance Date-17/04/2006 ", 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5002,2009
64,"[341, 342, 346, 347, 323, 327, 367, 420, 467, 468, 471, 34]"," Case No.358/07, P.S.Khagaria, Dist.Khagaria, State Bihar, Court C.J.M.,Khagaria, Cognizance Date-2/12/2008 ", 3,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5002,2009
65,"[341, 323, 384, 379, 34]"," Case No.557/05, P.S.Khagaria(Chitragupt Nagar), Court C.J.M.,Khagaria, Cognizance Date-4/4/2006 ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5004,2009
66,"[406, 34]"," Case No.459/05, P.S.Khagaria(Chitragupt Nagar), Court C.J.M.,Khagaria, Cognizance Date-28/1/2006 ", 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5004,2009
67,"[147, 148, 149, 326, 307, 302]"," 27 ARMS ACT, CASE NO.135/04, P.S.Morkahi, Court C.J.M.,Khagaria, Cognizance Date-20/12/2007 ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
68,"[307, 353, 34]"," Case No.4/09, P.S.Morkahi, Court C.J.M.,Khagaria, Cognizance Date-17/3/2009 ", 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
69,"[147, 148, 149, 307]"," 27 ARMS ACT, CASE NO.132A/97, P.S.Alouli, Court C.J.M.,Khagaria, Cognizance Date-21/3/97 ", 3,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
70,"[395, 412, 364]"," Case No.70/97, P.S. Alouli, Court C.J.M.,Khagaria, Cognizance Date-9/8/98 ", 4,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
71,"[148, 324, 302]"," 27 ARMS ACT, Case No.17/98, P.S.Alouli, Court C.J.M.,Khagaria, Cognizance Date-18/11/1998 ", 5,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
72,"[341, 342, 364, 34]"," Case No.61/2000, P.S.Alouli, Court C.J.M.,Khagaria, Cognizance Date-2/10/2000 ", 6,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
73,"[147, 436]"," Case No.106/86, P.S.Alouli, Court C.J.M.,Khagaria, Cognizance Date-7/9/87 ", 7,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
74,"[399, 402, 302]"," CASE NO.55/90, P.S.Alouli, Court C.J.M.,Khagaria, Cognizance Date-3/12/90 ", 8,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
75,[364]," CASE NO.56/90, P.S.Alouli, Court C.J.M.,Khagaria, Cognizance Date-3/9/03 ", 9,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
76,"[147, 148, 149, 364, 386, 387]"," CASE NO.101/08, P.S.Alouli, Court C.J.M.,Khagaria, Cognizance Date-6/10/07 ", 10,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
77,"[147, 148, 149, 323, 307, 452, 380]"," 27 ARMS ACT, CASE NO.50/94, P.S.Alouli, Court C.J.M.,Khagaria, Cognizance Date-30/10/1994 ", 11,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
78,"[147, 148, 149, 323, 324, 307, 380]"," 27 ARMS ACT, CASE NO.79/93, P.S.Alouli, Court C.J.M.,Khagaria, Cognizance Date-9/2/1994 ", 12,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
79,[379]," CASE NO.46/93, P.S.Alouli, Court C.J.M.,Khagaria ", 13,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
80,"[394, 364, 302]"," CASE NO.133/90, P.S.Alouli, Court C.J.M.,Khagaria, Cognizance Date-29/4/2003 ", 14,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
81,"[307, 34]"," CASE NO.,188/92, P.S.Khagaria, Court C.J.M.,Khagaria, Cognizance Date-30/4/93 ", 15,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
82,"[364, 365, 120B, 34]"," CASE NO.249/91, P.S.Khagaria, Court C.J.M.,Khagaria, Cognizance Date-1/2/97 ", 16,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
83,"[147, 148, 307, 302, 201]"," CASE NO.73/96, P.S.Choutham, Court C.J.M.,Khagaria, Cognizance Date-15/1/01 ", 17,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
84,"[302, 201, 34]"," CASE NO.77/95, P.S.Salkhua, Court C.J.M.,Saharsa, Cognizance Date-13/5/97 ", 18,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
85,"[364, 34]"," CASE NO.96/03, P.S.Salkhua, Court C.J.M.,Saharsa, Cognizance Date-3/4/06 ", 19,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
86,"[364, 34]"," CASE NO.2/05, P.S.Banmakhi Janki Nagar, Court C.J.M.,Purnea, Cognizance Date-5/8/05 ", 20,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5007,2009
87,"[147, 148, 143, 324, 504, 506]",  , 1,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2604,2004
88,"[143, 147, 341, 342]",  , 2,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2604,2004
89,[153(A)(B)],  , 1,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2602,2004
90,"[153(A), 505(1)(B)(C)]",  , 2,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2602,2004
91,"[143, 147, 149, 342, 323, 34]",  , 3,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2602,2004
92,[500],  , 1,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2603,2004
93,[341/34], 37(1)of Bombay Police Act r/w 135 JMFC  1st class Judicial magistrate Khadki pune -3 cc.no.127/81 , 1,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2601,2004
94,"[323, 326, 356, 448, 452, 501, 148, 149]"," FIR NO. 146 to 24-05-13, SDJM PHILLUAR ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=7733,2014
95,"[448, 353]"," Akkur Police Station, Channapatna Rural, 0055/2013, Civil Court, JMFC-Channapatna,951/13/3/2013 ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=2523,2014
96,"[147, 149, 427]"," P.S/35 dated 16.03.2007, P.S. New Market, Kolkata, West Bengal, Ld. Metropolitan Magistrate 6th Court, G. R. 563/07, Date-30-04-2008 ", 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=9412,2014
97,"[448, 427]"," C.C No. 2647 Of 2010 In Cr. No. 525 Of 2008 P.S. Narayanguda, Hyderabad, Addl. Chief Metropolitan Magistrate, Hyderabad, Addl.CMM, Hyd., Charges Framed On 27.11.2010, Sec. 5 Of A.P. Land Grabbing Act.  ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=7926,2014
98,[336]," Cr. No. 225/2012 P.S. Jubilee Hills, Hyderabad, Sec. 27(1) Of The Arms Act.  ", 2,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=7926,2014
99,[]," XIII Metropolitan Magistrate Cyberabad R.R. District C.C No. 186 Of 2010, 138 NI Act. Crl. Appeal No. 175/2014 On The File OF V Addl. District Judge, R.R. District Against The C. C No. 186 Of 2010 On The File Of XIII MM Cyberabad ", 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=7926,2014
100,"[147, 148, 353]"," FIR No. 260/01, 3 PDP Act. 7 CLA Act. Case No. 1999/2004, Petition No. 4837/04, Date 12.08.2004, Court High court Civil Judge J.D. Mohmmadabad Gazipur. olice Station Mohmmadabad Gazipur U.P ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1839,2009
101,"[147, 148, 149, 307, 302, 404, 120B]"," 7 CLA ACT., CASE NO.589/05, P.S. BHAVARKOL GHAJIPUR, U.P., COURT 1st F.T.C. GHAJIPUR ", 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1839,2009
102,[]," CASE NO.1052/07, P.S. MOHAMMADABAD, GHAJIPUR U.P., GANGSTER ACT.(Acquitted case, 302, 506, 120B I.P.C. FIR No. 493/05, Police Station Mohmmadabad Gazipur U.P., Date 19.01.2006) ", 3,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1839,2009
103,[]," 25 Arms Act, Case No.588/2000, Crime No.8/2000, Police Station Kotwali, Dist.Mau, Court C.J.M.,Mau, Hiring Date-19/5/09 ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1838,2009
104,"[147, 435, 436, 427]"," Case No.137/2008, Crime No.183A/2005, Police Station Kotwali, Dist.Mau, Court F.T.C., Mau, Hiring Date-6/4/09 ", 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1838,2009
105,"[379, 411]"," Case No.444/2007, Crime No.27/2000, Police Station Chiraiyakot, Dist.Mau, Court A.M.,Mau, Hiring Date-30/3/09 ", 3,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1838,2009
106,"[143, 504, 352]"," 7 SLR Act, Crime No.116/2009, Police Station Kotwali, Dist.Mau ", 4,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1838,2009
107,[302], Case no 42/2008 Muzafferpur RailP.s.JudicialMagistrate Sonpur , 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=3153,2009
108,"[471, 420]"," Police Station Yogpura, Court Tees Hajari ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1831,2009
109,"[420, 34]", 35(2) MMP ACT 1961 , 1,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2544,2004
110,[]," Section 147 & 174(A) Railway Act, CC-10614/2008,  Police Station-RPF Bangalore City, District-Bangalore, State-Karnataka, IV Additional Chief Metropolitan Magistrate at Bangalore, Date 06.05.2008 ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=742,2009
111,"[147, 148, 353, 332]", Case no.4515/05 CJM haridwar  date 09.08.05 , 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=8277,2009
112,"[147, 341]", 7 Cr.A.Act Case no.3185/7 CJM Haridwar Date 29.06.05 , 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=8277,2009
113,[]," 3 W.B.Act,FIR No.376/08,Dated 24.10.2008,Police Station: Welcome,District:North East Delhi,State:Delhi,No Charge is framed ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=7602,2009
114,"[147, 148, 149, 186, 332, 353, 307]"," 3 Prev. of Damage of Property Act,1984,FIR No.152/2009,Dated 16.04.2008,Police Station:Bhajanpura,District:North East Delhi,State:Delhi,No Charge is framed ", 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=7602,2009
115,"[147, 148, 323, 325, 384, 380, 504, 506]"," 25/27 ARMS ACT, case No. 529/(10) 08, Ld. Chief Judicial Magistrate at Alipore ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=8176,2009
116,[]," 3PDPP Act, Court Judicial Magistrate Gopalganj,Case No-29/98,Tr No-2805/14,Cog. Date 03/06/2000 ", 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=9138,2014
117,"[448, 34]"," Judicial Magistrate Gopalganj,Case No-207/04,Tr No-844/14 ", 2,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=9138,2014
118,"[302, 34]"," Bhawanipur P.s Case No 107/05, ST. No 1144/08, A.A.D.J No 5 Purenea 25/04/14, F.C.T No 06 Purnea, 05/01/2009
 ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=5270,2014
119,"[342, 323, 379, 411, 427, 34]"," Fir No 111/15-06-200 Narpatganj, Arariya Bihar, S.D.J.M Arariya, Date 18-03-2001 ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=5276,2014
120,[]," Section 37(a), 30, 134 of B. P. Act & Section 3(1) of  P. P. D. Act, Cr. Case S. C. No. 31/06 is pending against me in JMFC  Kankamali ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=3550,2009
121,[], WP9196/09 , 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=4611,2009
122,[], WP9197/09 , 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=4611,2009
123,[], WP9198/09 , 3,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=4611,2009
124,[], WP9199/09  , 4,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=4611,2009
125,[], WP9200/09  , 5,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=4611,2009
126,[], WP9201/09 , 6,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=4611,2009
127,[], WP9202/09 , 7,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=4611,2009
128,[], WP9203/09 , 8,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=4611,2009
129,[], WP9204/09 , 9,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=4611,2009
130,[], WP9205/09 , 10,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=4611,2009
131,[], WP9206/09 , 11,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=4611,2009
132,[], WP9207/09 , 12,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=4611,2009
