,IPC_sections,Other,serial_no,type,url,year_election
6508,"[307, 323, 504, 506]", Crime No.239/09 , 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=7740,2009
6509,"[384, 506]", Crime No.067/07 , 3,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=7740,2009
6510,"[450, 380, 504, 506]", Crime No.378/08 , 4,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=7740,2009
6511,[], case no 239/09;spent 14 days in jail , 1,Convict,http://myneta.info/ls2009/candidate.php?candidate_id=7740,2009
6512,"[323, 506]"," Crime No.206/96, Police Station Sahibabad, Dist.Muradnagar Court J.M., Gaziabad, Cognizance Date-9/4/1996 ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=7746,2009
6513,"[307, 393, 353, 506]"," Crime No.529/93, Police Station Sahibabad, Dist.Muradnagar, Court IV A.D.J., Gaziabad, Cognizance Date-3/1/04 ", 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=7746,2009
6514,[294]," 3,5,6,7 PIT ACT, Crime No.329/04, Police Station Sahibabad, Dist.Muradnagar, Court III A.D.J., Gaziabad, Cognizance Date-17/8/2008 ", 3,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=7746,2009
6515,"[279, 337]"," F.I.R. NO.1293/2007, P.S. SAVNER, DIST. NAGPUR, STATE MAHARASHTRA ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1967,2009
6516,"[147, 448, 379]"," J.N No:11 Salem, CC 156/2008 ", 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=5704,2014
6517,"[147, 294(b), 353, 506(ll)]"," CC No 39/2012, J.M.-V, Salem, Crime number 1155/2011, Alagapuram Police Station, Charge Framed date-2012 ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=5706,2014
6518,"[341, 143, 149]"," CC 2949/08

 ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=2682,2009
6519,"[143, 145, 353, 149]", CC 2989/07 , 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=2682,2009
6520,[353], SCC No. 1757/12 First Class Judicial Magistrate  , 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=3587,2014
6521,[], U/s 48(2) Mineral Act. Date 21.03.2001 , 2,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=3587,2014
6522,[]," WP No. 132/2001, High Court Khandpith Ausangabad  ", 3,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=3587,2014
6523,"[452, 143, 147]", Crime No. 62/2013 Session Court Nanded  , 4,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=3587,2014
6524,"[143, 301, 337, 427]", Session court Nanded Year 2007 Aurangabad , 5,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=3587,2014
6525,"[143, 341]"," Case No. 47/2008, Session Court Nanded Aurangabad ", 6,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=3587,2014
6526,"[143, 342, 343, 294, 506, 504]", Case No. 346/2010 Session Court Nanded Aurangabad  , 7,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=3587,2014
6527,"[332, 333, 353, 452, 427, 435, 307, 148, 149]",  , 1,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=1289,2004
6528,"[323, 324]",  , 2,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=1289,2004
6529,"[143, 144, 145, 147, 149, 332, 427, 452, 454]",  , 1,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2493,2004
6530,[]," 123(4),133 People Representative Act ", 2,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2493,2004
6531,"[143, 117]"," r/w 37(1)(d),3,135 Bombay Police Act. ", 3,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2493,2004
6532,"[143, 149, 341]"," r/w 174(a),37(3),135 Bombay Police Act ", 4,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2493,2004
6533,[]," 37(3) with 33(w),102,135 Bombay Police Act ", 5,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2493,2004
6534,[500]," r/wsec37(i),22-5,bombay police act ", 6,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2493,2004
6535,"[143, 145, 147, 148, 149, 332, 353, 341, 324, 327, 435, 120A]"," C.R. No.280/06 of Shivaji Park Police Station,Mumbai, S.C. No.688/2007,Mumbai Session Court,Mumbai, Cognizance Date 27/7/2007 ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5481,2009
6536,"[143, 145, 147, 148, 149, 332, 353, 341, 324, 327, 435, 120B]"," C.R. No.281/06 of Shivaji Police Station, Mumbai,  S.C.No.689/2007,Mumbai Session Court,Mumbai, Cognizance Date 27/7/2007 ", 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5481,2009
6537,"[143, 145, 149, 427]"," 37(i) Mumbai Police Act, C.R.No. 163/06 of Kalachowki Police Station C.C. No 234/PS/2007, 15th Court, Mazgaon Mumbai, Cognizance Date 21/03/2007 ", 3,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5481,2009
6538,"[143, 145, 147, 149, 324, 427, 120B, 332, 336, 34]"," C.R.No. 33/08 of Shivaji Park Police Station , C.C.No.197/PW/2008, 5th Court, Bhoiwada, Dadar Mumbai, Cognizance Date 29/04/2008 ", 4,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5481,2009
6539,"[143, 145, 147, 149, 324, 427, 120B, 332, 336, 34]"," C.R.No.35/08 of Shivaji Park Police Station,Mumbai, C.C. No.198/PW/2008, 5th Court, Bhoiwada, Dadar Mumbai, Cognizance Date 29/04/2008 ", 5,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5481,2009
6540,"[147, 148, 149, 504, 506, 171F, 365, 323]"," 3(1)5,Case No.1098/08,Crime No.09/06,C.J.M. Hamirpur ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5662,2009
6541,"[147, 504, 506]"," 7 Criminal Law Amendment Act,Case No.1394/07,Crime No.671/07 ,C.J.M. Hamirpur ", 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5662,2009
6542,[182]," Case No.659/94, Court Judicial Magistrate, Konch, Cognizance Date-16/1/2008, and 1 thousand Rupees Fine, Appeal No.2/08 Court Dist. or Session Judge Place Urai, Dist.Jalaon, Appeal Pending Date-21/1/08, By Order Date-16/1/08 ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5665,2009
6543,[]," CASE/FIR NO 2327/2007/A1,14808/2006/A3,599/08/A1,627/08/A1 
in Bangalore ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1161,2009
6544,"[147, 148, 149, 307, 336, 435, 395, 392, 120B]"," 3/4 Act, 7 Criminal Act,Case No.934/07,Criminal Case No.34/07,Thana Kotwali,Padrauna,CJM,Padrauna,Date 01.05.07 ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1376,2009
6545,"[147, 149, 353, 341]"," 7 Criminal Act,Case No.053/07,ACJM,Kasya,Date 23.03.07 ", 2,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1376,2009
6546,"[420, 467, 468, 471]"," Case No.260/03, Date-04/09/2003,Chief Judicial Magistrate, Shahdol, Appeal pending under MCRC-5431/2007 & MCRC-603/2004 at High Court Jabalpur ", 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=2797,2014
6547,"[341, 188, 143]"," Crime No.349A/98, Court A.C.J.M.,Gyanpur ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=4155,2009
